folder,file,path,total_px_aoi,bands_used,valid_allbands_px,valid_allbands_pct,null_anyband_px,null_anyband_pct,geom_match_ref,band_mapping,band_confidence,VV_valid_px,VV_valid_pct,VV_null_px,VV_null_pct,VH_valid_px,VH_valid_pct,VH_null_px,VH_null_pct,angle_valid_px,angle_valid_pct,angle_null_px,angle_null_pct,VVVH_ratio_valid_px,VVVH_ratio_valid_pct,VVVH_ratio_null_px,VVVH_ratio_null_pct
S1_2015_05,S1_2015_1.tif,D:\Maestria_Geomatica\Semestre_IV\Tesis_Python\Datos\TIFF\S1\S1_2015_05\S1_2015_1.tif,4837824,"VV,VH,angle,VVVH_ratio",82951,1.7146345133679934,4754873,98.285365486632,True,"{""angle"": 3, ""VV_Difference"": 1, ""VVVH_ratio"": 4, ""VV"": 5, ""VH"": 2}","{""angle"": 0.85, ""VV_Difference"": 0.8, ""VVVH_ratio"": 0.75, ""VV"": 0.7, ""VH"": 0.7}",82951,1.7146345133679934,4754873,98.285365486632,85658,1.77058942202114,4752166,98.22941057797885,886225,18.318669715971478,3951599,81.68133028402852,85658,1.77058942202114,4752166,98.22941057797885
S1_2015_05,S1_2015_2.tif,D:\Maestria_Geomatica\Semestre_IV\Tesis_Python\Datos\TIFF\S1\S1_2015_05\S1_2015_2.tif,4836008,"VV,VH,angle,VVVH_ratio",1214224,25.107981624513442,3621784,74.89201837548656,False,"{""angle"": 3, ""VV_Difference"": 2, ""VVVH_ratio"": 4, ""VV"": 5, ""VH"": 1}","{""angle"": 0.85, ""VV_Difference"": 0.8, ""VVVH_ratio"": 0.75, ""VV"": 0.7, ""VH"": 0.7}",1214224,25.107981624513442,3621784,74.89201837548656,1239149,25.623386065531736,3596859,74.37661393446827,1491285,30.83710779634773,3344723,69.16289220365226,1239149,25.623386065531736,3596859,74.37661393446827
S1_2015_09,S1_2015_4.tif,D:\Maestria_Geomatica\Semestre_IV\Tesis_Python\Datos\TIFF\S1\S1_2015_09\S1_2015_4.tif,4837824,"VV,VH,angle,VVVH_ratio",1327162,27.433036009577858,3510662,72.56696399042214,True,"{""angle"": 3, ""VV_Difference"": 2, ""VVVH_ratio"": 4, ""VV"": 5, ""VH"": 1}","{""angle"": 0.85, ""VV_Difference"": 0.8, ""VVVH_ratio"": 0.75, ""VV"": 0.7, ""VH"": 0.7}",1327162,27.433036009577858,3510662,72.56696399042214,1354946,28.007343797542035,3482878,71.99265620245797,1449662,29.965166157346776,3388162,70.03483384265323,1354946,28.007343797542035,3482878,71.99265620245797
S1_2015_11,S1_2015_5.tif,D:\Maestria_Geomatica\Semestre_IV\Tesis_Python\Datos\TIFF\S1\S1_2015_11\S1_2015_5.tif,4836008,"VV,VH,angle,VVVH_ratio",1325275,27.404317776149252,3510733,72.59568222385074,True,"{""angle"": 3, ""VV_Difference"": 2, ""VVVH_ratio"": 4, ""VV"": 5, ""VH"": 1}","{""angle"": 0.85, ""VV_Difference"": 0.8, ""VVVH_ratio"": 0.75, ""VV"": 0.7, ""VH"": 0.7}",1325275,27.404317776149252,3510733,72.59568222385074,1353034,27.978324270762165,3482974,72.02167572923783,1451505,30.014528511946217,3384503,69.98547148805379,1353034,27.978324270762165,3482974,72.02167572923783
S1_2016_03,S1_2016_2.tif,D:\Maestria_Geomatica\Semestre_IV\Tesis_Python\Datos\TIFF\S1\S1_2016_03\S1_2016_2.tif,4836008,"VV,VH,angle,VVVH_ratio",819978,16.95567914693276,4016030,83.04432085306723,True,"{""angle"": 3, ""VV_Difference"": 2, ""VV"": 1, ""VH"": 4, ""VVVH_ratio"": 5}","{""angle"": 0.85, ""VV_Difference"": 0.8, ""VVVH_ratio"": 0.05, ""VV"": 0.3, ""VH"": 0.3}",1347608,27.8661242909441,3488400,72.1338757090559,1347608,27.8661242909441,3488400,72.1338757090559,1547738,32.00445491405308,3288270,67.99554508594692,819978,16.95567914693276,4016030,83.04432085306723
S1_2016_09,S1_2016_6.tif,D:\Maestria_Geomatica\Semestre_IV\Tesis_Python\Datos\TIFF\S1\S1_2016_09\S1_2016_6.tif,4836008,"VV,VH,angle,VVVH_ratio",822716,17.01229609214873,4013292,82.98770390785127,True,"{""angle"": 3, ""VV_Difference"": 2, ""VVVH_ratio"": 4, ""VV"": 5, ""VH"": 1}","{""angle"": 0.85, ""VV_Difference"": 0.8, ""VVVH_ratio"": 0.75, ""VV"": 0.7, ""VH"": 0.7}",822716,17.01229609214873,4013292,82.98770390785127,1352195,27.96097525066129,3483813,72.03902474933871,1423172,29.428652723485982,3412836,70.57134727651402,1352195,27.96097525066129,3483813,72.03902474933871
S1_2016_09,S1_2016_7.tif,D:\Maestria_Geomatica\Semestre_IV\Tesis_Python\Datos\TIFF\S1\S1_2016_09\S1_2016_7.tif,4837824,"VV,VH,angle,VVVH_ratio",823585,17.023872716328665,4014239,82.97612728367133,False,"{""angle"": 3, ""VV_Difference"": 2, ""VVVH_ratio"": 4, ""VV"": 5, ""VH"": 1}","{""angle"": 0.85, ""VV_Difference"": 0.8, ""VVVH_ratio"": 0.75, ""VV"": 0.7, ""VH"": 0.7}",823585,17.023872716328665,4014239,82.97612728367133,1353861,27.984916359090366,3483963,72.01508364090964,1453501,30.044520015610324,3384323,69.95547998438968,1353861,27.984916359090366,3483963,72.01508364090964
S1_2016_11,S1_2016_13.tif,D:\Maestria_Geomatica\Semestre_IV\Tesis_Python\Datos\TIFF\S1\S1_2016_11\S1_2016_13.tif,4836008,"VV,VH,angle,VVVH_ratio",821268,16.98235404077082,4014740,83.01764595922918,True,"{""angle"": 3, ""VV_Difference"": 2, ""VVVH_ratio"": 4, ""VV"": 5, ""VH"": 1}","{""angle"": 0.85, ""VV_Difference"": 0.8, ""VVVH_ratio"": 0.75, ""VV"": 0.7, ""VH"": 0.7}",821268,16.98235404077082,4014740,83.01764595922918,1349729,27.909982779184816,3486279,72.09001722081518,1450161,29.98673699464517,3385847,70.01326300535483,1349729,27.909982779184816,3486279,72.09001722081518
S1_2016_11,S1_2016_16.tif,D:\Maestria_Geomatica\Semestre_IV\Tesis_Python\Datos\TIFF\S1\S1_2016_11\S1_2016_16.tif,4836008,"VV,VH,angle,VVVH_ratio",824733,17.054004046312578,4011275,82.94599595368742,False,"{""angle"": 3, ""VV_Difference"": 2, ""VVVH_ratio"": 4, ""VV"": 1, ""VH"": 5}","{""angle"": 0.85, ""VV_Difference"": 0.8, ""VVVH_ratio"": 0.75, ""VV"": 0.7, ""VH"": 0.7}",1355731,28.034093409274757,3480277,71.96590659072524,824733,17.054004046312578,4011275,82.94599595368742,1456265,30.112956802387423,3379743,69.88704319761257,1355731,28.034093409274757,3480277,71.96590659072524
S1_2016_12,S1_2016_19.tif,D:\Maestria_Geomatica\Semestre_IV\Tesis_Python\Datos\TIFF\S1\S1_2016_12\S1_2016_19.tif,4836008,"VV,VH,angle,VVVH_ratio",821662,16.990501256408177,4014346,83.00949874359182,True,"{""angle"": 3, ""VV_Difference"": 2, ""VVVH_ratio"": 4, ""VV"": 1, ""VH"": 5}","{""angle"": 0.85, ""VV_Difference"": 0.8, ""VVVH_ratio"": 0.75, ""VV"": 0.7, ""VH"": 0.7}",1350292,27.921624612697084,3485716,72.07837538730291,821662,16.990501256408177,4014346,83.00949874359182,1451340,30.011116606920417,3384668,69.98888339307958,1350292,27.921624612697084,3485716,72.07837538730291
