folder,file,band,n,min,p25,median,mean,p75,max,std,iqr
S1_2015_05,S1_2015_1.tif,VV,82951.0,-59.19554901123047,10.213305473327637,13.483190536499023,9.931394577026367,16.144118309020996,52.76069641113281,12.511164665222168,5.930812835693359
S1_2015_05,S1_2015_1.tif,VH,85658.0,-23.834611892700195,-15.897179126739502,-14.751948833465576,-14.838898658752441,-13.59775185585022,-8.276700019836426,2.0807337760925293,2.2994272708892822
S1_2015_05,S1_2015_1.tif,angle,886225.0,44.7469367980957,45.229461669921875,45.469791412353516,45.469383239746094,45.728023529052734,45.999996185302734,0.30913999676704407,0.4985618591308594
S1_2015_05,S1_2015_1.tif,VVVH_ratio,85658.0,3.092582941055298,5.405283570289612,5.889476537704468,5.931858539581299,6.399954557418823,10.308991432189941,0.7670090794563293,0.9946709871292114
S1_2015_05,S1_2015_2.tif,VV,1214224.0,-79.17727661132812,-17.505074501037598,9.534770488739014,1.0057250261306763,17.038031101226807,69.90629577636719,18.63420867919922,34.543105602264404
S1_2015_05,S1_2015_2.tif,VH,1239149.0,-16.041257858276367,-8.96557331085205,-7.7765889167785645,-7.525689601898193,-6.263562202453613,4.955729961395264,2.0053696632385254,2.7020111083984375
S1_2015_05,S1_2015_2.tif,angle,1491285.0,44.397918701171875,44.99603271484375,45.31324768066406,45.31032943725586,45.63383865356445,45.999996185302734,0.3956839144229889,0.6378059387207031
S1_2015_05,S1_2015_2.tif,VVVH_ratio,1239149.0,1.9961848258972168,5.733939170837402,6.170528411865234,6.219313621520996,6.631723880767822,18.836572647094727,0.757651686668396,0.8977847099304199
S1_2015_09,S1_2015_4.tif,VV,1327162.0,-80.39159393310547,-13.522393226623535,12.837213039398193,5.701967716217041,17.00308656692505,74.983154296875,16.604034423828125,30.525479793548584
S1_2015_09,S1_2015_4.tif,VH,1354946.0,-27.420269012451172,-9.438646078109741,-8.162251949310303,-7.930871963500977,-6.551909565925598,4.638729095458984,2.154195785522461,2.886736512184143
S1_2015_09,S1_2015_4.tif,angle,1449662.0,44.423484802246094,45.0322380065918,45.339866638183594,45.33156204223633,45.647128105163574,45.999996185302734,0.3872065246105194,0.6148900985717773
S1_2015_09,S1_2015_4.tif,VVVH_ratio,1354946.0,2.212068557739258,5.9075939655303955,6.346614837646484,6.4231462478637695,6.833858609199524,22.632753372192383,0.8004372715950012,0.9262646436691284
S1_2015_11,S1_2015_5.tif,VV,1325275.0,-63.525901794433594,10.70598840713501,13.214207649230957,12.352398872375488,15.457366466522217,66.04043579101562,7.092315673828125,4.751378059387207
S1_2015_11,S1_2015_5.tif,VH,1353034.0,-22.543943405151367,-10.302918910980225,-9.052480697631836,-8.847640037536621,-7.550264477729797,4.3701863288879395,2.082965135574341,2.7526544332504272
S1_2015_11,S1_2015_5.tif,angle,1451505.0,44.42316436767578,45.03096389770508,45.339115142822266,45.33074951171875,45.646240234375,45.999996185302734,0.38714197278022766,0.6152763366699219
S1_2015_11,S1_2015_5.tif,VVVH_ratio,1353034.0,0.8683939576148987,5.221213698387146,5.674115180969238,5.756628513336182,6.177560567855835,18.348844528198242,0.8441047072410583,0.956346869468689
S1_2016_03,S1_2016_2.tif,VV,1347608.0,-21.03720474243164,-10.2713143825531,-8.993800163269043,-8.824051856994629,-7.517905592918396,2.9515540599823,2.0791068077087402,2.7534087896347046
S1_2016_03,S1_2016_2.tif,VH,1347608.0,-0.6976667046546936,5.049714803695679,5.508259057998657,5.601019382476807,6.032780766487122,16.98253059387207,0.8744948506355286,0.9830659627914429
S1_2016_03,S1_2016_2.tif,angle,1547738.0,44.37221908569336,44.962745666503906,45.29351806640625,45.287986755371094,45.62128448486328,45.999996185302734,0.40574243664741516,0.658538818359375
S1_2016_03,S1_2016_2.tif,VVVH_ratio,819978.0,-74.22035217285156,-13.741451025009155,14.261024475097656,6.911142349243164,18.628944396972656,80.981689453125,17.70464324951172,32.37039542198181
S1_2016_09,S1_2016_6.tif,VV,822716.0,-64.89057922363281,-15.865964889526367,13.22700834274292,5.286527633666992,18.11007785797119,68.81887817382812,17.978679656982422,33.97604274749756
S1_2016_09,S1_2016_6.tif,VH,1352195.0,-34.87608337402344,-10.143595218658447,-8.904614448547363,-8.632343292236328,-7.275546073913574,4.83585262298584,2.1368651390075684,2.868049144744873
S1_2016_09,S1_2016_6.tif,angle,1423172.0,44.43326950073242,45.04447078704834,45.346099853515625,45.33782196044922,45.64950942993164,45.999996185302734,0.3836442828178406,0.6050386428833008
S1_2016_09,S1_2016_6.tif,VVVH_ratio,1352195.0,1.1724536418914795,5.106753826141357,5.563990116119385,5.64430046081543,6.073452711105347,19.16093635559082,0.8386535048484802,0.9666988849639893
S1_2016_09,S1_2016_7.tif,VV,823585.0,-88.7911376953125,-15.701945304870605,6.997254848480225,0.5640220046043396,16.309951782226562,73.62112426757812,17.630460739135742,32.01189708709717
S1_2016_09,S1_2016_7.tif,VH,1353861.0,-23.334442138671875,-9.908819198608398,-8.54513931274414,-8.397944450378418,-7.031265735626221,5.0705742835998535,2.1596059799194336,2.8775534629821777
S1_2016_09,S1_2016_7.tif,angle,1453501.0,44.421875,45.02956008911133,45.33818054199219,45.329872131347656,45.645687103271484,45.999996185302734,0.38750582933425903,0.6161270141601562
