idx_firms,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,acq_date_n,anio,mes,dia,index_righ,MpNombre,Depto,mpnombre_s,depto_std,join_ok,fecha_FIRM,mpnombre_1,fecha_UNGR,dif_dias_m,dif_dias_a,tipo_coinc,fire_date,orb_same,img_same,idx_same,slice_same,orb_post30,img_post30,idx_post30,slice_post,orb_pre30,img_pre30,idx_pre30,slice_pre3,dt_post_da,dt_pre_day,label,id,point_id,SR_B5_norm,SR_B6_norm,SR_B7_norm,NDVI_norm,EVI_norm,NBR_norm,NDWI_norm,VV,VH,angle,VVVH_ratio,VV_Difference,VH_Difference,VHVV_Difference,l8_found,l8_file,l8_year,l8_bimonth_start_month,l8_bimonth_label,l8_selection_rule,s1_found,s1_file,s1_date,s1_scene_index
63.0,5.47348,-73.55351,295.52,0.4,0.37,2014-02-16,0620,N,VIIRS,n,2,279.22,0.7,N,2.0,2014-02-16,2014.0,2.0,16.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2014-02-16,SAMACA,2014-02-15,1.0,1.0,ventana_5dias,2014-02-16,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,11,-0.5962462425231934,-0.27171169221401215,0.24958810955286026,-0.24526266753673553,-0.5815051198005676,0.027375356294214725,1.2978092432022095,0.6911357939243317,0.587265819311142,-0.12227585539221764,0.6454354524612427,0.5030908584594727,0.3820801079273224,0.5463662147521973,True,L8_2017_ene_feb_normalizado.tif,2017,1,ene_feb,next_bimonth_fallback_next_available,False,,,
64.0,5.47292,-73.54994,303.01,0.4,0.37,2014-02-16,0620,N,VIIRS,n,2,279.16,0.78,N,2.0,2014-02-16,2014.0,2.0,16.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2014-02-16,SAMACA,2014-02-15,1.0,1.0,ventana_5dias,2014-02-16,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,12,-0.5962462425231934,-0.27171169221401215,0.24958810955286026,-0.24526266753673553,-0.5815051198005676,0.027375356294214725,1.2978092432022095,0.6911357939243317,0.587265819311142,-0.12227585539221764,0.6454354524612427,0.5030908584594727,0.3820801079273224,0.5463662147521973,True,L8_2017_ene_feb_normalizado.tif,2017,1,ene_feb,next_bimonth_fallback_next_available,False,,,
65.0,5.47237,-73.54639,296.7,0.4,0.37,2014-02-16,0620,N,VIIRS,n,2,279.39,0.78,N,2.0,2014-02-16,2014.0,2.0,16.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2014-02-16,SAMACA,2014-02-15,1.0,1.0,ventana_5dias,2014-02-16,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,13,-0.5962462425231934,-0.27171169221401215,0.24958810955286026,-0.24526266753673553,-0.5815051198005676,0.027375356294214725,1.2978092432022095,0.6911357939243317,0.587265819311142,-0.12227585539221764,0.6454354524612427,0.5030908584594727,0.3820801079273224,0.5463662147521973,True,L8_2017_ene_feb_normalizado.tif,2017,1,ene_feb,next_bimonth_fallback_next_available,False,,,
67.0,5.46955,-73.55038,306.67,0.4,0.37,2014-02-16,0620,N,VIIRS,n,2,278.82,0.78,N,2.0,2014-02-16,2014.0,2.0,16.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2014-02-16,SAMACA,2014-02-15,1.0,1.0,ventana_5dias,2014-02-16,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,14,-0.5962462425231934,-0.27171169221401215,0.24958810955286026,-0.24526266753673553,-0.5815051198005676,0.027375356294214725,1.2978092432022095,0.6911357939243317,0.587265819311142,-0.12227585539221764,0.6454354524612427,0.5030908584594727,0.3820801079273224,0.5463662147521973,True,L8_2017_ene_feb_normalizado.tif,2017,1,ene_feb,next_bimonth_fallback_next_available,False,,,
68.0,5.46682,-73.53291,301.26,0.4,0.37,2014-02-16,0620,N,VIIRS,n,2,281.23,1.35,N,0.0,2014-02-16,2014.0,2.0,16.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2014-02-16,SAMACA,2014-02-15,1.0,1.0,ventana_5dias,2014-02-16,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,15,-0.6758436560630798,-0.4412733316421509,0.42915984988212585,-0.5874311923980713,-0.6745725870132446,0.10879453271627426,1.9350875616073608,0.6911357939243317,0.587265819311142,-0.12227585539221764,0.6454354524612427,0.5030908584594727,0.3820801079273224,0.5463662147521973,True,L8_2017_ene_feb_normalizado.tif,2017,1,ene_feb,next_bimonth_fallback_next_available,False,,,
78.0,5.57205,-73.34909,347.31,0.53,0.42,2014-02-14,1801,N,VIIRS,n,2,303.86,10.29,D,0.0,2014-02-14,2014.0,2.0,14.0,548.0,Tunja,Boyacá,TUNJA,BOYACA,1.0,2014-02-14,TUNJA,2014-02-14,0.0,0.0,exacta,2014-02-14,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,16,0.9631410241127014,1.737317442893982,1.87397038936615,-0.6452422738075256,-0.008404086343944073,-0.15644687414169312,1.6809331178665161,0.6911357939243317,0.587265819311142,-0.12227585539221764,0.6454354524612427,0.5030908584594727,0.3820801079273224,0.5463662147521973,True,L8_2017_ene_feb_normalizado.tif,2017,1,ene_feb,next_bimonth_fallback_next_available,False,,,
98.0,5.59392,-73.52914,348.31,0.41,0.37,2014-09-30,1831,N,VIIRS,n,2,316.84,38.78,D,0.0,2014-09-30,2014.0,9.0,30.0,558.0,Sáchica,Boyacá,SACHICA,BOYACA,1.0,2014-09-30,SACHICA,2014-09-30,0.0,0.0,exacta,2014-09-30,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,17,-0.5962462425231934,-0.27171169221401215,0.24958810955286026,-0.24526266753673553,-0.5815051198005676,0.027375356294214725,1.2978092432022095,0.6911357939243317,0.587265819311142,-0.12227585539221764,0.6454354524612427,0.5030908584594727,0.3820801079273224,0.5463662147521973,True,L8_2017_ene_feb_normalizado.tif,2017,1,ene_feb,next_bimonth_fallback_next_available,False,,,
107.0,5.50309,-73.56761,329.69,0.45,0.39,2014-08-30,1812,N,VIIRS,n,2,303.27,2.8,D,0.0,2014-08-30,2014.0,8.0,30.0,550.0,Ráquira,Boyacá,RAQUIRA,BOYACA,1.0,2014-08-30,RAQUIRA,2014-09-03,-4.0,4.0,ventana_5dias,2014-08-30,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,18,-0.11436479538679123,-0.11316852271556854,-0.0012355891522020102,0.5956896543502808,0.14889958500862122,0.47187989950180054,0.30681321024894714,0.6911357939243317,0.587265819311142,-0.12227585539221764,0.6454354524612427,0.5030908584594727,0.3820801079273224,0.5463662147521973,True,L8_2017_ene_feb_normalizado.tif,2017,1,ene_feb,next_bimonth_fallback_next_available,False,,,
112.0,5.66857,-73.58493,323.53,0.38,0.36,2014-09-17,0631,N,VIIRS,n,2,267.19,2.38,N,0.0,2014-09-17,2014.0,9.0,17.0,573.0,Sutamarchán,Boyacá,SUTAMARCHAN,BOYACA,1.0,2014-09-17,SUTAMARCHAN,2014-09-16,1.0,1.0,ventana_5dias,2014-09-17,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,19,-0.5962462425231934,-0.27171169221401215,0.24958810955286026,-0.24526266753673553,-0.5815051198005676,0.027375356294214725,1.2978092432022095,0.6911357939243317,0.587265819311142,-0.12227585539221764,0.6454354524612427,0.5030908584594727,0.3820801079273224,0.5463662147521973,True,L8_2017_ene_feb_normalizado.tif,2017,1,ene_feb,next_bimonth_fallback_next_available,False,,,
126.0,5.46884,-73.54912,296.47,0.38,0.36,2014-01-04,0625,N,VIIRS,n,2,277.5,0.7,N,2.0,2014-04-01,2014.0,4.0,1.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2014-04-01,SAMACA,2014-04-06,-5.0,5.0,ventana_5dias,2014-04-01,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,20,-0.5962462425231934,-0.27171169221401215,0.24958810955286026,-0.24526266753673553,-0.5815051198005676,0.027375356294214725,1.2978092432022095,0.6911357939243317,0.587265819311142,-0.12227585539221764,0.6454354524612427,0.5030908584594727,0.3820801079273224,0.5463662147521973,True,L8_2017_ene_feb_normalizado.tif,2017,1,ene_feb,current_bimonth_fallback_next_available,False,,,
