idx_firms,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,acq_date_n,anio,mes,dia,index_righ,MpNombre,Depto,mpnombre_s,depto_std,join_ok,fecha_FIRM,mpnombre_1,fecha_UNGR,dif_dias_m,dif_dias_a,tipo_coinc,fire_date,orb_same,img_same,idx_same,slice_same,orb_post30,img_post30,idx_post30,slice_post,orb_pre30,img_pre30,idx_pre30,slice_pre3,dt_post_da,dt_pre_day,label,id,point_id,SR_B5_norm,SR_B6_norm,SR_B7_norm,NDVI_norm,EVI_norm,NBR_norm,NDWI_norm,VV,VH,angle,VVVH_ratio,VV_Difference_norm,VH_Difference_norm,VHVV_Difference_norm,l8_found,l8_file,l8_year,l8_bimonth_start_month,l8_bimonth_label,l8_selection_rule,s1_general_found,s1_general_file,s1_general_date,s1_general_scene_index,s1_difference_found,s1_difference_file,s1_difference_date,s1_difference_scene_index,s1_difference_selection_rule
983.0,5.46534,-73.55585,298.8,0.4,0.37,2017-09-04,0617,N,VIIRS,n,2,279.09,0.99,N,2.0,2017-04-09,2017.0,4.0,9.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2017-04-09,SAMACA,2017-04-14,-5.0,5.0,ventana_5dias,2017-04-09,<NA>,<NA>,<NA>,<NA>,77,2017-05-09 00:00:00,24,7,77,2017-03-10 00:00:00,10,7,30,-30,1,,220,-0.9526259303092957,-0.4864182770252228,0.27862438559532166,-1.4212656021118164,-1.1466596126556396,-0.45968732237815857,2.8815605640411377,2.5056374073028564,3.217543840408325,-0.21495838463306427,-0.41780030727386475,-0.1623125970363617,-0.4223400950431824,0.2520439028739929,True,L8_2017_sep_oct_normalizado.tif,2017,9,sep_oct,current_bimonth,True,S1_2017-09-06_0_prepost_indices_normalizado.tif,2017-09-06,0,True,S1_2017-09-06_0_prepost_indices_normalizado.tif,2017-09-06,0,closest_to_fire_date
1012.0,5.44621,-73.58848,300.69,0.4,0.37,2017-09-04,0617,N,VIIRS,n,2,279.12,0.92,N,0.0,2017-04-09,2017.0,4.0,9.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2017-04-09,SAMACA,2017-04-14,-5.0,5.0,ventana_5dias,2017-04-09,<NA>,<NA>,<NA>,<NA>,77,2017-05-09 00:00:00,24,7,77,2017-03-10 00:00:00,10,7,30,-30,1,,226,-0.6575272083282471,0.23452436923980713,1.0028831958770752,-1.697135090827942,-1.1057943105697632,-0.8135867118835449,3.0396311283111572,1.5176312923431396,1.4266102313995361,-0.33913829922676086,1.1996848583221436,-0.2947668433189392,0.5576707124710083,1.4800032377243042,True,L8_2017_sep_oct_normalizado.tif,2017,9,sep_oct,current_bimonth,True,S1_2017-09-06_0_prepost_indices_normalizado.tif,2017-09-06,0,True,S1_2017-09-06_0_prepost_indices_normalizado.tif,2017-09-06,0,closest_to_fire_date
996.0,5.46512,-73.5562,311.66,0.39,0.44,2017-10-10,0642,N,VIIRS,n,2,278.58,1.27,N,2.0,2017-10-10,2017.0,10.0,10.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2017-10-10,SAMACA,2017-10-11,-1.0,1.0,ventana_5dias,2017-10-10,<NA>,<NA>,<NA>,<NA>,77,2017-11-05 00:00:00,52,7,77,2017-09-06 00:00:00,43,7,26,-34,1,,222,-1.0767709016799927,-0.9170557260513306,-0.4268946349620819,-0.049188483506441116,-0.8808138966560364,0.20395061373710632,1.2990598678588867,3.073373794555664,3.9590933322906494,-0.3288781940937042,-0.6081961989402771,-0.512699544429779,0.1740613579750061,1.2814964056015015,True,L8_2017_nov_dic_normalizado.tif,2017,11,nov_dic,next_bimonth,True,S1_2017-10-12_0_prepost_indices_normalizado.tif,2017-10-12,0,True,S1_2017-10-12_0_prepost_indices_normalizado.tif,2017-10-12,0,closest_to_fire_date
1011.0,5.44622,-73.59083,295.0,0.39,0.44,2017-10-10,0642,N,VIIRS,n,2,278.04,0.51,N,0.0,2017-10-10,2017.0,10.0,10.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2017-10-10,SAMACA,2017-10-11,-1.0,1.0,ventana_5dias,2017-10-10,<NA>,<NA>,<NA>,<NA>,77,2017-11-05 00:00:00,52,7,77,2017-09-06 00:00:00,43,7,26,-34,1,,225,-1.1294589042663574,-1.1795088052749634,-0.837314784526825,1.0527886152267456,-0.7686409950256348,0.9507572054862976,-0.2619154155254364,0.7427483201026917,0.9782023429870605,-0.4408300518989563,0.010828823782503605,0.6126337051391602,0.5158817768096924,0.484514057636261,True,L8_2017_nov_dic_normalizado.tif,2017,11,nov_dic,next_bimonth,True,S1_2017-10-12_0_prepost_indices_normalizado.tif,2017-10-12,0,True,S1_2017-10-12_0_prepost_indices_normalizado.tif,2017-10-12,0,closest_to_fire_date
1006.0,5.44727,-73.58977,297.43,0.45,0.39,2017-12-04,0611,N,VIIRS,n,2,280.76,0.78,N,0.0,2017-04-12,2017.0,4.0,12.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2017-04-12,SAMACA,2017-04-14,-2.0,2.0,ventana_5dias,2017-04-12,<NA>,<NA>,<NA>,<NA>,77,2017-05-09 00:00:00,24,7,77,2017-03-10 00:00:00,10,7,27,-33,1,,224,-0.8197749257087708,-0.7181116342544556,-0.2675042152404785,-0.19290880858898163,-0.7149150967597961,0.3062671720981598,1.6825830936431885,1.4370309114456177,1.725585699081421,-0.3384525179862976,0.18779140710830688,0.9905666708946228,-0.05774887278676033,-0.5484355688095093,True,L8_2018_ene_feb_normalizado.tif,2018,1,ene_feb,next_bimonth,True,S1_2017-12-23_1_prepost_indices_normalizado.tif,2017-12-23,1,True,S1_2017-12-23_1_prepost_indices_normalizado.tif,2017-12-23,1,closest_to_fire_date
1042.0,5.5978,-73.0546,327.9,1.3,1.1,2018-02-16,1811,Aqua,MODIS,65,6.03,305.2,28.8,D,0.0,2018-02-16,2018.0,2.0,16.0,564.0,Pesca,Boyacá,PESCA,BOYACA,1.0,2018-02-16,PESCA,2018-02-16,0.0,0.0,exacta,2018-02-16,<NA>,<NA>,<NA>,<NA>,77,2018-03-17 00:00:00,12,7,77,2018-01-16 00:00:00,3,7,29,-31,1,,230,0.13528186082839966,2.004514694213867,2.293245792388916,-0.7702195644378662,-0.358218789100647,-1.1037455797195435,1.6907460689544678,0.09626584500074387,0.7357190251350403,1.2172138690948486,-1.319298505783081,-1.2464399337768555,-0.47764623165130615,1.3244329690933228,True,L8_2018_mar_abr_normalizado.tif,2018,3,mar_abr,next_bimonth,True,S1_2018-02-21_1_prepost_indices_normalizado.tif,2018-02-21,1,True,S1_2018-02-21_1_prepost_indices_normalizado.tif,2018-02-21,1,closest_to_fire_date
1133.0,5.47205,-73.55227,299.64,0.49,0.49,2018-12-29,0648,N20,VIIRS,n,2,278.99,1.19,N,2.0,2018-12-29,2018.0,12.0,29.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2018-12-29,SAMACA,2019-01-03,-5.0,5.0,ventana_5dias,2018-12-29,<NA>,<NA>,<NA>,<NA>,150,2019-01-28 00:00:00,3,25,150,2018-11-29 00:00:00,52,25,30,-30,1,,231,-1.1287806034088135,-0.5058535933494568,0.3373146057128906,-1.5514503717422485,-1.2668330669403076,-0.737845242023468,2.912853479385376,1.3090248107910156,1.3762202262878418,4.774728298187256,0.6988950967788696,0.7703689336776733,-1.211908221244812,-1.6011545658111572,True,L8_2019_ene_feb_normalizado.tif,2019,1,ene_feb,next_bimonth,True,S1_2019-01-04_0_prepost_indices_normalizado.tif,2019-01-04,0,True,S1_2018-12-18_2_prepost_indices_normalizado.tif,2018-12-18,2,closest_to_fire_date
1227.0,5.4713,-73.54772,301.33,0.49,0.49,2018-12-29,0648,N20,VIIRS,n,2,279.1,1.19,N,2.0,2018-12-29,2018.0,12.0,29.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2018-12-29,SAMACA,2019-01-03,-5.0,5.0,ventana_5dias,2018-12-29,<NA>,<NA>,<NA>,<NA>,150,2019-01-28 00:00:00,3,25,150,2018-11-29 00:00:00,52,25,30,-30,1,,235,-0.8524506688117981,-0.4024026691913605,0.3554365634918213,-1.3532475233078003,-1.0343457460403442,-0.3475373685359955,2.513925075531006,0.3993554711341858,-0.1952633261680603,4.783977508544922,1.9890860319137573,-1.6843047142028809,-0.48220306634902954,1.7773220539093018,True,L8_2019_ene_feb_normalizado.tif,2019,1,ene_feb,next_bimonth,True,S1_2019-01-04_0_prepost_indices_normalizado.tif,2019-01-04,0,True,S1_2018-12-18_2_prepost_indices_normalizado.tif,2018-12-18,2,closest_to_fire_date
1228.0,5.47781,-73.52824,305.37,0.41,0.37,2018-12-30,0629,N20,VIIRS,n,2,281.8,1.53,N,2.0,2018-12-30,2018.0,12.0,30.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2018-12-30,SAMACA,2019-01-03,-4.0,4.0,ventana_5dias,2018-12-30,<NA>,<NA>,<NA>,<NA>,150,2019-01-28 00:00:00,3,25,150,2018-11-29 00:00:00,52,25,29,-31,1,,236,-0.8711062669754028,-0.9199633598327637,-0.5109143853187561,0.17546868324279785,-0.678020715713501,0.7594525218009949,0.6628128886222839,0.0874570906162262,0.3173406720161438,4.895638942718506,-0.27068424224853516,1.4644033908843994,1.1331321001052856,0.27982860803604126,True,L8_2019_ene_feb_normalizado.tif,2019,1,ene_feb,next_bimonth,True,S1_2019-01-04_0_prepost_indices_normalizado.tif,2019-01-04,0,True,S1_2018-12-18_2_prepost_indices_normalizado.tif,2018-12-18,2,closest_to_fire_date
1306.0,5.47356,-73.54463,298.89,0.41,0.37,2018-12-30,0629,N20,VIIRS,n,2,279.34,1.06,N,2.0,2018-12-30,2018.0,12.0,30.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2018-12-30,SAMACA,2019-01-03,-4.0,4.0,ventana_5dias,2018-12-30,<NA>,<NA>,<NA>,<NA>,150,2019-01-28 00:00:00,3,25,150,2018-11-29 00:00:00,52,25,29,-31,1,,237,-1.009384274482727,-0.6588875651359558,-0.09596375375986099,-0.8275530338287354,-0.9234659075737,0.02192084677517414,2.0472142696380615,-0.023587480187416077,-0.07145135849714279,4.860374450683594,0.39299336075782776,0.9454073309898376,0.49266955256462097,0.11066827178001404,True,L8_2019_ene_feb_normalizado.tif,2019,1,ene_feb,next_bimonth,True,S1_2019-01-04_0_prepost_indices_normalizado.tif,2019-01-04,0,True,S1_2018-12-18_2_prepost_indices_normalizado.tif,2018-12-18,2,closest_to_fire_date
