idx_firms;latitude;longitude;brightness;scan;track;acq_date;acq_time;satellite;instrument;confidence;version;bright_t31;frp;daynight;type;acq_date_n;anio;mes;dia;index_righ;MpNombre;Depto;mpnombre_s;depto_std;join_ok;fecha_FIRM;mpnombre_1;fecha_UNGR;dif_dias_m;dif_dias_a;tipo_coinc;fire_date;orb_same;img_same;idx_same;slice_same;orb_post30;img_post30;idx_post30;slice_post;orb_pre30;img_pre30;idx_pre30;slice_pre3;dt_post_da;dt_pre_day;label;id;point_id;SR_B5_norm;SR_B6_norm;SR_B7_norm;NDVI_norm;EVI_norm;NBR_norm;NDWI_norm;VV;VH;angle;VVVH_ratio;VV_Difference;VH_Difference;VHVV_Difference;l8_found;l8_file;l8_year;l8_bimonth_start_month;l8_bimonth_label;l8_selection_rule;s1_found;s1_file;s1_date;s1_scene_index
983;5.46534;-73.55585;298.8;0.4;0.37;4/09/2017;617;N;VIIRS;n;2;279.09;0.99;N;2;9/04/2017;2017;4;9;539;Samacá;Boyacá;SAMACA;BOYACA;1;9/04/2017;SAMACA;14/04/2017;-5;5;ventana_5dias;9/04/2017;<NA>;<NA>;<NA>;<NA>;77;9/05/2017 0:00;24;7;77;10/03/2017 0:00;10;7;30;-30;1;;220;-0.95262593;-0.486418277;0.278624386;-1.421265602;-1.146659613;-0.459687322;2.881560564;2.505637407;3.21754384;-0.214958385;-0.417800307;-0.162312597;-0.422340095;0.252043903;True;L8_2017_sep_oct_normalizado.tif;2017;9;sep_oct;current_bimonth;True;S1_2017-09-06_0_prepost_indices_normalizado.tif;6/09/2017;0
1012;5.44621;-73.58848;300.69;0.4;0.37;4/09/2017;617;N;VIIRS;n;2;279.12;0.92;N;0;9/04/2017;2017;4;9;539;Samacá;Boyacá;SAMACA;BOYACA;1;9/04/2017;SAMACA;14/04/2017;-5;5;ventana_5dias;9/04/2017;<NA>;<NA>;<NA>;<NA>;77;9/05/2017 0:00;24;7;77;10/03/2017 0:00;10;7;30;-30;1;;226;-0.657527208;0.234524369;1.002883196;-1.697135091;-1.105794311;-0.813586712;3.039631128;1.517631292;1.426610231;-0.339138299;1.199684858;-0.294766843;0.557670712;1.480003238;True;L8_2017_sep_oct_normalizado.tif;2017;9;sep_oct;current_bimonth;True;S1_2017-09-06_0_prepost_indices_normalizado.tif;6/09/2017;0
996;5.46512;-73.5562;311.66;0.39;0.44;10/10/2017;642;N;VIIRS;n;2;278.58;1.27;N;2;10/10/2017;2017;10;10;539;Samacá;Boyacá;SAMACA;BOYACA;1;10/10/2017;SAMACA;11/10/2017;-1;1;ventana_5dias;10/10/2017;<NA>;<NA>;<NA>;<NA>;77;5/11/2017 0:00;52;7;77;6/09/2017 0:00;43;7;26;-34;1;;222;-1.076770902;-0.917055726;-0.426894635;-0.049188484;-0.880813897;0.203950614;1.299059868;3.073373795;3.959093332;-0.328878194;-0.608196199;-0.512699544;0.174061358;1.281496406;True;L8_2017_nov_dic_normalizado.tif;2017;11;nov_dic;next_bimonth;True;S1_2017-10-12_0_prepost_indices_normalizado.tif;12/10/2017;0
1011;5.44622;-73.59083;295;0.39;0.44;10/10/2017;642;N;VIIRS;n;2;278.04;0.51;N;0;10/10/2017;2017;10;10;539;Samacá;Boyacá;SAMACA;BOYACA;1;10/10/2017;SAMACA;11/10/2017;-1;1;ventana_5dias;10/10/2017;<NA>;<NA>;<NA>;<NA>;77;5/11/2017 0:00;52;7;77;6/09/2017 0:00;43;7;26;-34;1;;225;-1.129458904;-1.179508805;-0.837314785;1.052788615;-0.768640995;0.950757205;-0.261915416;0.74274832;0.978202343;-0.440830052;0.010828824;0.612633705;0.515881777;0.484514058;True;L8_2017_nov_dic_normalizado.tif;2017;11;nov_dic;next_bimonth;True;S1_2017-10-12_0_prepost_indices_normalizado.tif;12/10/2017;0
1006;5.44727;-73.58977;297.43;0.45;0.39;4/12/2017;611;N;VIIRS;n;2;280.76;0.78;N;0;12/04/2017;2017;4;12;539;Samacá;Boyacá;SAMACA;BOYACA;1;12/04/2017;SAMACA;14/04/2017;-2;2;ventana_5dias;12/04/2017;<NA>;<NA>;<NA>;<NA>;77;9/05/2017 0:00;24;7;77;10/03/2017 0:00;10;7;27;-33;1;;224;-0.819774926;-0.718111634;-0.267504215;-0.192908809;-0.714915097;0.306267172;1.682583094;1.437030911;1.725585699;-0.338452518;0.187791407;0.990566671;-0.057748873;-0.548435569;True;L8_2018_ene_feb_normalizado.tif;2018;1;ene_feb;next_bimonth;True;S1_2017-12-23_1_prepost_indices_normalizado.tif;23/12/2017;1
1042;5.5978;-73.0546;327.9;1.3;1.1;16/02/2018;1811;Aqua;MODIS;65;6.03;305.2;28.8;D;0;16/02/2018;2018;2;16;564;Pesca;Boyacá;PESCA;BOYACA;1;16/02/2018;PESCA;16/02/2018;0;0;exacta;16/02/2018;<NA>;<NA>;<NA>;<NA>;77;17/03/2018 0:00;12;7;77;16/01/2018 0:00;3;7;29;-31;1;;230;0.135281861;2.004514694;2.293245792;-0.770219564;-0.358218789;-1.10374558;1.690746069;0.096265845;0.735719025;1.217213869;-1.319298506;-1.246439934;-0.477646232;1.324432969;True;L8_2018_mar_abr_normalizado.tif;2018;3;mar_abr;next_bimonth;True;S1_2018-02-21_1_prepost_indices_normalizado.tif;21/02/2018;1
1133;5.47205;-73.55227;299.64;0.49;0.49;29/12/2018;648;N20;VIIRS;n;2;278.99;1.19;N;2;29/12/2018;2018;12;29;539;Samacá;Boyacá;SAMACA;BOYACA;1;29/12/2018;SAMACA;3/01/2019;-5;5;ventana_5dias;29/12/2018;<NA>;<NA>;<NA>;<NA>;150;28/01/2019 0:00;3;25;150;29/11/2018 0:00;52;25;30;-30;1;;231;-1.128780603;-0.505853593;0.337314606;-1.551450372;-1.266833067;-0.737845242;2.912853479;1.309024811;1.376220226;4.774728298;0.698895097;-0.636403084;-0.762282372;0.369989812;True;L8_2019_ene_feb_normalizado.tif;2019;1;ene_feb;next_bimonth;True;S1_2019-01-04_0_prepost_indices_normalizado.tif;4/01/2019;0
1227;5.4713;-73.54772;301.33;0.49;0.49;29/12/2018;648;N20;VIIRS;n;2;279.1;1.19;N;2;29/12/2018;2018;12;29;539;Samacá;Boyacá;SAMACA;BOYACA;1;29/12/2018;SAMACA;3/01/2019;-5;5;ventana_5dias;29/12/2018;<NA>;<NA>;<NA>;<NA>;150;28/01/2019 0:00;3;25;150;29/11/2018 0:00;52;25;30;-30;1;;235;-0.852450669;-0.402402669;0.355436563;-1.353247523;-1.034345746;-0.347537369;2.513925076;0.399355471;-0.195263326;4.783977509;1.989086032;0.971614838;0.298728108;-0.132336423;True;L8_2019_ene_feb_normalizado.tif;2019;1;ene_feb;next_bimonth;True;S1_2019-01-04_0_prepost_indices_normalizado.tif;4/01/2019;0
1228;5.47781;-73.52824;305.37;0.41;0.37;30/12/2018;629;N20;VIIRS;n;2;281.8;1.53;N;2;30/12/2018;2018;12;30;539;Samacá;Boyacá;SAMACA;BOYACA;1;30/12/2018;SAMACA;3/01/2019;-4;4;ventana_5dias;30/12/2018;<NA>;<NA>;<NA>;<NA>;150;28/01/2019 0:00;3;25;150;29/11/2018 0:00;52;25;29;-31;1;;236;-0.871106267;-0.91996336;-0.510914385;0.175468683;-0.678020716;0.759452522;0.662812889;0.087457091;0.317340672;4.895638943;-0.270684242;0.744620383;1.103285551;0.999458671;True;L8_2019_ene_feb_normalizado.tif;2019;1;ene_feb;next_bimonth;True;S1_2019-01-04_0_prepost_indices_normalizado.tif;4/01/2019;0
1306;5.47356;-73.54463;298.89;0.41;0.37;30/12/2018;629;N20;VIIRS;n;2;279.34;1.06;N;2;30/12/2018;2018;12;30;539;Samacá;Boyacá;SAMACA;BOYACA;1;30/12/2018;SAMACA;3/01/2019;-4;4;ventana_5dias;30/12/2018;<NA>;<NA>;<NA>;<NA>;150;28/01/2019 0:00;3;25;150;29/11/2018 0:00;52;25;29;-31;1;;237;-1.009384274;-0.658887565;-0.095963754;-0.827553034;-0.923465908;0.021920847;2.04721427;-0.02358748;-0.071451358;4.860374451;0.392993361;0.542253971;0.172501668;0.176404595;True;L8_2019_ene_feb_normalizado.tif;2019;1;ene_feb;next_bimonth;True;S1_2019-01-04_0_prepost_indices_normalizado.tif;4/01/2019;0
