folder,file,mapping,confidence,notes
S1_2019_08,S1_2019_46.tif,"{'angle': 3, 'VV_Difference': 2, 'VVVH_ratio': 4, 'VV': 5, 'VH': 1}","{'angle': 0.85, 'VV_Difference': 0.8, 'VVVH_ratio': 0.75, 'VV': 0.7, 'VH': 0.7}",
S1_2019_08,S1_2019_47.tif,"{'angle': 3, 'VV_Difference': 2, 'VV': 4, 'VH': 1, 'VVVH_ratio': 5}","{'angle': 0.85, 'VV_Difference': 0.8, 'VVVH_ratio': 0.05, 'VV': 0.7, 'VH': 0.7}",
S1_2019_08,S1_2019_49.tif,"{'angle': 3, 'VV_Difference': 1, 'VVVH_ratio': 4, 'VV': 5, 'VH': 2}","{'angle': 0.85, 'VV_Difference': 0.8, 'VVVH_ratio': 0.75, 'VV': 0.7, 'VH': 0.7}",
S1_2019_08,S1_2019_50.tif,"{'angle': 3, 'VV_Difference': 2, 'VVVH_ratio': 4, 'VV': 5, 'VH': 1}","{'angle': 0.85, 'VV_Difference': 0.8, 'VVVH_ratio': 0.75, 'VV': 0.7, 'VH': 0.7}",
