idx_firms,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,acq_date_n,anio,mes,dia,index_righ,MpNombre,Depto,mpnombre_s,depto_std,join_ok,fecha_FIRM,mpnombre_1,fecha_UNGR,dif_dias_m,dif_dias_a,tipo_coinc,fire_date,orb_same,img_same,idx_same,slice_same,orb_post30,img_post30,idx_post30,slice_post,orb_pre30,img_pre30,idx_pre30,slice_pre3,dt_post_da,dt_pre_day,label,id,point_id,RED,NIR,SWIR_1,SWIR_2,NDVI,EVI,NBR,IMG_COUNT,VV,VH,angle,l8_found,l8_file,l8_year,l8_month,s1_found,s1_file,s1_date
5641.0,5.4631,-73.51263,302.11,0.4,0.37,2024-03-15,0617,N,VIIRS,n,2,282.73,0.88,N,0.0,2024-03-15,2024.0,3.0,15.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2024-03-15,SAMACA,2024-03-10,5.0,5.0,ventana_5dias,2024-03-15,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,790,0.05046999827027321,0.10093250125646591,0.0896575003862381,0.07620999962091446,0.33330032229423523,0.11258774995803833,0.059158407151699066,4.0,-8.644721508026123,-14.83647346496582,45.52752685546875,True,L8_2024_04.tif,2024,4,False,,
5708.0,5.46992,-73.54743,330.05,0.38,0.36,2024-03-16,1815,N21,VIIRS,l,2.0NRT,304.86,6.32,D,,2024-03-16,2024.0,3.0,16.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2024-03-16,SAMACA,2024-03-20,-4.0,4.0,ventana_5dias,2024-03-16,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,791,0.0973849967122078,0.1772724986076355,0.19223250448703766,0.1545574963092804,0.2908622622489929,0.14665643870830536,-0.04048661142587662,4.0,-8.644721508026123,-14.83647346496582,45.52752685546875,True,L8_2024_04.tif,2024,4,False,,
5709.0,5.47845,-73.51334,331.93,0.39,0.36,2024-03-16,1815,N21,VIIRS,l,2.0NRT,306.54,2.66,D,,2024-03-16,2024.0,3.0,16.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2024-03-16,SAMACA,2024-03-20,-4.0,4.0,ventana_5dias,2024-03-16,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,792,0.06229500100016594,0.12067750096321106,0.11627750098705292,0.09634000062942505,0.3190779983997345,0.12093695998191833,0.01856892555952072,4.0,-8.644721508026123,-14.83647346496582,45.52752685546875,True,L8_2024_04.tif,2024,4,False,,
5710.0,5.47373,-73.54445,337.75,0.38,0.36,2024-03-16,1815,N21,VIIRS,n,2.0NRT,305.36,3.6,D,,2024-03-16,2024.0,3.0,16.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2024-03-16,SAMACA,2024-03-20,-4.0,4.0,ventana_5dias,2024-03-16,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,793,0.09675250202417374,0.1529349982738495,0.1755950003862381,0.21118000149726868,0.22501124441623688,0.11946669220924377,-0.06897392123937607,4.0,-8.644721508026123,-14.83647346496582,45.52752685546875,True,L8_2024_04.tif,2024,4,False,,
5711.0,5.47112,-73.55159,295.93,0.32,0.55,2024-03-17,0654,N21,VIIRS,n,2.0NRT,276.88,1.19,N,,2024-03-17,2024.0,3.0,17.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2024-03-17,SAMACA,2024-03-20,-3.0,3.0,ventana_5dias,2024-03-17,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,794,0.06215750053524971,0.13555499911308289,0.13362999260425568,0.11185000091791153,0.3712334632873535,0.15791964530944824,0.007151240017265081,4.0,-8.644721508026123,-14.83647346496582,45.52752685546875,True,L8_2024_04.tif,2024,4,False,,
5712.0,5.47062,-73.54868,304.29,0.32,0.55,2024-03-17,0654,N21,VIIRS,n,2.0NRT,277.0,1.19,N,,2024-03-17,2024.0,3.0,17.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2024-03-17,SAMACA,2024-03-20,-3.0,3.0,ventana_5dias,2024-03-17,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,795,0.07752999663352966,0.12062250077724457,0.1997399926185608,0.38591501116752625,0.2174714207649231,0.09629212319850922,-0.24696239829063416,4.0,-8.644721508026123,-14.83647346496582,45.52752685546875,True,L8_2024_04.tif,2024,4,False,,
5713.0,5.47489,-73.54372,298.75,0.32,0.55,2024-03-17,0654,N21,VIIRS,n,2.0NRT,277.3,1.37,N,,2024-03-17,2024.0,3.0,17.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2024-03-17,SAMACA,2024-03-20,-3.0,3.0,ventana_5dias,2024-03-17,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,796,0.05808750167489052,0.14113749563694,0.12565499544143677,0.10659749805927277,0.4168653190135956,0.1706407368183136,0.058031994849443436,4.0,-8.644721508026123,-14.83647346496582,45.52752685546875,True,L8_2024_04.tif,2024,4,False,,
5715.0,5.47159,-73.55439,295.8,0.32,0.55,2024-03-17,0654,N21,VIIRS,n,2.0NRT,277.2,0.65,N,,2024-03-17,2024.0,3.0,17.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2024-03-17,SAMACA,2024-03-20,-3.0,3.0,ventana_5dias,2024-03-17,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,797,0.053020624443888664,0.12587500363588333,0.13427624851465225,0.10620562359690666,0.3927915543317795,0.141348697245121,-0.016429626382887363,4.0,-8.644721508026123,-14.83647346496582,45.52752685546875,True,L8_2024_04.tif,2024,4,False,,
5724.0,5.47491,-73.54386,299.93,0.46,0.47,2024-03-20,0557,N21,VIIRS,n,2.0NRT,278.7,2.39,N,,2024-03-20,2024.0,3.0,20.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2024-03-20,SAMACA,2024-03-20,0.0,0.0,exacta,2024-03-20,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,798,0.06768500059843063,0.17424750328063965,0.1562349945306778,0.12664499878883362,0.4404637813568115,0.20302627980709076,0.0545036680996418,4.0,-8.644721508026123,-14.83647346496582,45.52752685546875,True,L8_2024_04.tif,2024,4,False,,
6119.0,5.45261,-73.57286,331.95,0.38,0.36,2024-03-16,1815,N21,VIIRS,l,2.0NRT,305.55,3.03,D,,2024-03-16,2024.0,3.0,16.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2024-03-16,SAMACA,2024-03-20,-4.0,4.0,ventana_5dias,2024-03-16,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,861,0.053020624443888664,0.12587500363588333,0.13427624851465225,0.10620562359690666,0.3927915543317795,0.141348697245121,-0.016429626382887363,4.0,-8.644721508026123,-14.83647346496582,45.52752685546875,True,L8_2024_04.tif,2024,4,False,,
