idx_firms,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,acq_date_n,anio,mes,dia,index_righ,MpNombre,Depto,mpnombre_s,depto_std,join_ok,fecha_FIRM,mpnombre_1,fecha_UNGR,dif_dias_m,dif_dias_a,tipo_coinc,fire_date,orb_same,img_same,idx_same,slice_same,orb_post30,img_post30,idx_post30,slice_post,orb_pre30,img_pre30,idx_pre30,slice_pre3,dt_post_da,dt_pre_day,label,id,point_id,RED,NIR,SWIR_1,SWIR_2,NDVI,EVI,NBR,IMG_COUNT,VV,VH,angle,l8_found,l8_file,l8_year,l8_month,s1_found,s1_file,s1_date
2178.0,5.4663,-73.53264,303.44,0.38,0.36,2020-10-27,0622,N20,VIIRS,n,2,281.68,1.56,N,0.0,2020-10-27,2020.0,10.0,27.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2020-10-27,SAMACA,2020-10-25,2.0,2.0,ventana_5dias,2020-10-27,<NA>,<NA>,<NA>,<NA>,77,2020-11-25 00:00:00,103,7,77,2020-09-26 00:00:00,84,7,29,-31,1,,418,0.04766499996185303,0.11625000089406967,0.10648749768733978,0.08451499789953232,0.4184180796146393,0.14767533540725708,0.04382963478565216,2.0,-8.630218505859375,-14.72350788116455,45.04380416870117,True,L8_2020_11.tif,2020,11,True,S1_2020_100.tif,2020-11-18
2196.0,5.4756,-73.52762,297.04,0.38,0.36,2020-10-27,0622,N20,VIIRS,n,2,282.28,0.6,N,2.0,2020-10-27,2020.0,10.0,27.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2020-10-27,SAMACA,2020-10-25,2.0,2.0,ventana_5dias,2020-10-27,<NA>,<NA>,<NA>,<NA>,77,2020-11-25 00:00:00,103,7,77,2020-09-26 00:00:00,84,7,29,-31,1,,421,0.031495001167058945,0.10874249786138535,0.08311250060796738,0.05506249889731407,0.5508334040641785,0.1658792942762375,0.1335904598236084,2.0,-7.609735488891602,-14.917454719543457,45.07920837402344,True,L8_2020_11.tif,2020,11,True,S1_2020_100.tif,2020-11-18
2212.0,5.48054,-73.51627,298.27,0.38,0.36,2020-10-27,0622,N20,VIIRS,n,2,282.21,0.94,N,0.0,2020-10-27,2020.0,10.0,27.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2020-10-27,SAMACA,2020-10-25,2.0,2.0,ventana_5dias,2020-10-27,<NA>,<NA>,<NA>,<NA>,77,2020-11-25 00:00:00,103,7,77,2020-09-26 00:00:00,84,7,29,-31,1,,428,0.05357750132679939,0.41391000151634216,0.19440500438213348,0.10423249751329422,0.7707853317260742,0.6072388291358948,0.3608410060405731,2.0,-7.27835750579834,-14.618881225585938,45.14363479614258,True,L8_2020_11.tif,2020,11,True,S1_2020_100.tif,2020-11-18
2213.0,5.48,-73.51283,304.65,0.38,0.36,2020-10-27,0622,N20,VIIRS,n,2,282.45,0.84,N,0.0,2020-10-27,2020.0,10.0,27.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2020-10-27,SAMACA,2020-10-25,2.0,2.0,ventana_5dias,2020-10-27,<NA>,<NA>,<NA>,<NA>,77,2020-11-25 00:00:00,103,7,77,2020-09-26 00:00:00,84,7,29,-31,1,,429,0.06083749979734421,0.392487496137619,0.2016099989414215,0.11402250081300735,0.7315943241119385,0.5554788112640381,0.32128986716270447,2.0,-6.870530128479004,-14.873746871948242,45.16236114501953,True,L8_2020_11.tif,2020,11,True,S1_2020_100.tif,2020-11-18
2214.0,5.47889,-73.52709,307.85,0.38,0.36,2020-10-27,0622,N20,VIIRS,n,2,283.5,1.63,N,2.0,2020-10-27,2020.0,10.0,27.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2020-10-27,SAMACA,2020-10-25,2.0,2.0,ventana_5dias,2020-10-27,<NA>,<NA>,<NA>,<NA>,77,2020-11-25 00:00:00,103,7,77,2020-09-26 00:00:00,84,7,29,-31,1,,430,0.08143500238656998,0.21555249392986298,0.17454999685287476,0.12576499581336975,0.4515930712223053,0.2606348693370819,0.10510698705911636,2.0,-8.609014511108398,-13.847471237182617,45.08324432373047,True,L8_2020_11.tif,2020,11,True,S1_2020_100.tif,2020-11-18
2856.0,5.47067,-73.53268,299.54,0.41,0.37,2021-09-09,0630,N,VIIRS,n,2,280.84,1.2,N,0.0,2021-09-09,2021.0,9.0,9.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2021-09-09,SAMACA,2021-09-05,4.0,4.0,ventana_5dias,2021-09-09,77,2021-09-09 00:00:00,75,7,150,2021-10-08 00:00:00,84,25,150,2021-08-09 00:00:00,65,25,29,-31,1,,505,0.039992500096559525,0.28721749782562256,0.1399962604045868,0.07592125236988068,0.7556248307228088,0.4477066099643707,0.3450077176094055,4.0,-9.924725532531738,-15.864058494567871,45.04557418823242,True,L8_2021_10.tif,2021,10,True,S1_2021_76.tif,2021-09-14
2906.0,5.47687,-73.52755,295.52,0.41,0.37,2021-09-09,0630,N,VIIRS,n,2,280.84,1.37,N,2.0,2021-09-09,2021.0,9.0,9.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2021-09-09,SAMACA,2021-09-05,4.0,4.0,ventana_5dias,2021-09-09,77,2021-09-09 00:00:00,75,7,150,2021-10-08 00:00:00,84,25,150,2021-08-09 00:00:00,65,25,29,-31,1,,506,0.0540587492287159,0.15532749891281128,0.1467062532901764,0.09078499674797058,0.5024631023406982,0.1878373771905899,0.04594666510820389,4.0,-10.713987350463867,-16.42050552368164,45.07859802246094,True,L8_2021_10.tif,2021,10,True,S1_2021_76.tif,2021-09-14
2960.0,5.46729,-73.53339,300.21,0.41,0.37,2021-09-09,0630,N,VIIRS,n,2,281.03,1.01,N,0.0,2021-09-09,2021.0,9.0,9.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2021-09-09,SAMACA,2021-09-05,4.0,4.0,ventana_5dias,2021-09-09,77,2021-09-09 00:00:00,75,7,150,2021-10-08 00:00:00,84,25,150,2021-08-09 00:00:00,65,25,29,-31,1,,508,0.0418350026011467,0.16779875755310059,0.11103874444961548,0.0709024965763092,0.5968013405799866,0.24667619168758392,0.20100533962249756,4.0,-9.876840591430664,-16.308088302612305,45.03831481933594,True,L8_2021_10.tif,2021,10,True,S1_2021_76.tif,2021-09-14
3361.0,5.45562,-73.56976,296.92,0.41,0.37,2021-09-09,0630,N,VIIRS,n,2,276.65,1.11,N,0.0,2021-09-09,2021.0,9.0,9.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2021-09-09,SAMACA,2021-09-05,4.0,4.0,ventana_5dias,2021-09-09,77,2021-09-09 00:00:00,75,7,150,2021-10-08 00:00:00,84,25,150,2021-08-09 00:00:00,65,25,29,-31,1,,525,0.05459500104188919,0.1889050006866455,0.165584996342659,0.10431499779224396,0.551581084728241,0.24348172545433044,0.06578466296195984,4.0,-9.183960914611816,-15.701620101928711,44.82944107055664,True,L8_2021_10.tif,2021,10,True,S1_2021_76.tif,2021-09-14
,,,,,,2015-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,818.0,1779,0.19355249404907227,0.3034150004386902,0.39333999156951904,0.3420250117778778,0.22106577455997467,0.15558794140815735,-0.12906257808208466,4.0,-3.37322735786438,-10.99814510345459,45.534942626953125,True,L8_2015_05.tif,2015,5,True,S1_2015_2.tif,2015-05-19
