label,SR_B5,SR_B6,SR_B7,NDVI,EVI,NBR,NDWI
1,0.3543174862861633,0.1542274951934814,0.0746700018644332,0.8230897784233093,0.5583605170249939,0.39345583319664,-0.719667375087738
1,0.2000149935483932,0.1395699977874755,0.0852850005030632,0.6404252648353577,0.3113794028759002,0.1779966652393341,-0.6334255337715149
1,0.1156449988484382,0.0992550030350685,0.0740374997258186,0.4772070348262787,0.1616819202899933,0.0762680098414421,-0.4850318431854248
1,0.1108324974775314,0.1414674967527389,0.208759993314743,0.2455364018678665,0.0989735126495361,-0.1214229092001915,-0.2636964917182922
1,0.1130599975585937,0.1061024963855743,0.0807475000619888,0.4170583486557007,0.1385929882526397,0.031745858490467,-0.4124334156513214
1,0.1241424977779388,0.1505974978208542,0.1595074981451034,0.2937574684619903,0.1099573001265525,-0.0296629052609205,-0.360786110162735
1,0.2011699974536895,0.1655025035142898,0.1061299964785575,0.5253584980964661,0.2552840113639831,0.130614623427391,-0.5373798608779907
1,0.2597725093364715,0.1592874974012375,0.0962850004434585,0.5931795835494995,0.362606793642044,0.1981748193502426,-0.5741602182388306
1,0.1131424978375434,0.1042324975132942,0.0789325013756752,0.3651569187641144,0.1264419257640838,0.0409890748560428,-0.4306668639183044
1,0.3501099944114685,0.1786475032567978,0.0899600014090538,0.7772637009620667,0.5354480743408203,0.3442755937576294,-0.7204223871231079
1,0.1059924960136413,0.108618751168251,0.0978662520647049,0.2584967315196991,0.0891069620847702,-0.0207115337252616,-0.3042578399181366
1,0.1418800055980682,0.1733949929475784,0.1462250053882599,0.2017109394073486,0.0966744497418403,-0.0999603122472763,-0.2823571860790252
1,0.0908949971199035,0.0699262470006942,0.0507587492465972,0.5409290790557861,0.1383365392684936,0.1278970688581466,-0.5235129594802856
1,0.084487497806549,0.0463450029492378,0.0233549997210502,0.7677632570266724,0.1591088324785232,0.295129656791687,-0.7397857308387756
1,0.1221487522125244,0.0878012478351593,0.0614012479782104,0.5113452672958374,0.1690578460693359,0.1508088409900665,-0.4703758955001831
1,0.2382950037717819,0.3324275016784668,0.2323825061321258,0.3925099372863769,0.2351112365722656,-0.1649356633424759,-0.4692449271678924
1,0.0845699980854988,0.1068724989891052,0.1017849966883659,0.2316991090774536,0.0668531060218811,-0.0829994976520538,-0.299922227859497
1,0.1181749999523162,0.1161675006151199,0.1029950007796287,0.2724977731704712,0.1099053472280502,0.0044022342190146,-0.3551936447620392
1,0.1159062534570694,0.0696649998426437,0.0451487526297569,0.5871731638908386,0.1758899837732315,0.2522907555103302,-0.6116648316383362
1,0.099090002477169,0.0931224972009658,0.0728550031781196,0.380708247423172,0.1304381936788559,0.0871350988745689,-0.4198563396930694
1,0.1062399968504905,0.0833325013518333,0.0567125007510185,0.5099957585334778,0.16215181350708,0.1089085489511489,-0.533676028251648
1,0.1020599976181984,0.0721950009465217,0.0434300005435943,0.5848133563995361,0.1595075577497482,0.1713867485523224,-0.6254180669784546
1,0.1171299964189529,0.1843674927949905,0.2580949962139129,0.3150479793548584,0.1243572011590004,-0.1948816925287246,-0.4182516038417816
1,0.1746187508106231,0.0985675007104873,0.0544025003910064,0.6628809571266174,0.2747810482978821,0.2756140828132629,-0.6344011425971985
1,0.0990625023841857,0.0693074986338615,0.0443374998867511,0.5549957156181335,0.17265085875988,0.1272774785757064,-0.5576463341712952
1,0.1015375033020973,0.2302650064229965,0.4479824900627136,0.191236063838005,0.0708436146378517,-0.3744972050189972,-0.2710678577423095
1,0.1002862453460693,0.0823837518692016,0.0622950010001659,0.4190533459186554,0.1244373843073844,0.0944877117872238,-0.4670813083648681
1,0.1248850002884864,0.0852575004100799,0.0495624989271163,0.6930689811706543,0.2172998338937759,0.18857441842556,-0.672184407711029
1,0.134674996137619,0.1227125003933906,0.0828099995851516,0.4291136264801025,0.1704684197902679,0.0464765988290309,-0.4513563513755798
1,0.1374800056219101,0.0969450026750564,0.0582799986004829,0.6459742784500122,0.2181454449892044,0.196409210562706,-0.6304675936698914
1,0.1070374995470047,0.0710949972271919,0.0411750003695488,0.5880153179168701,0.1869437992572784,0.1786430180072784,-0.5818769335746765
