folder,file,band,n,min,p25,median,mean,p75,max,std,iqr
S1_2021_05,S1_2021_32.tif,VV,252209,-60.77876281738281,-16.836599349975586,-13.229069709777832,-6.1833672523498535,13.197107315063477,71.69428253173828,16.72167205810547,30.033706665039062
S1_2021_05,S1_2021_32.tif,VH,252209,-23.160627365112305,-9.242396354675293,-8.062408447265625,-7.943718433380127,-6.638596057891846,3.3010571002960205,2.283475875854492,2.6038002967834473
S1_2021_05,S1_2021_32.tif,angle,1896917,44.158538818359375,44.794410705566406,45.19361114501953,45.1881217956543,45.5922966003418,45.999996185302734,0.47219404578208923,0.7978858947753906
S1_2021_05,S1_2021_32.tif,VVVH_ratio,252209,2.05735182762146,5.428309917449951,5.880797386169434,5.943808555603027,6.370736122131348,16.935665130615234,0.8490469455718994,0.9424262046813965
S1_2021_05,S1_2021_33.tif,VV,1091065,-19.67080307006836,-8.787214279174805,-7.634090900421143,-7.408448219299316,-6.244408130645752,4.182806491851807,2.00466251373291,2.5428061485290527
S1_2021_05,S1_2021_33.tif,VH,1091065,-0.0565372072160244,5.616641044616699,6.038070201873779,6.118223667144775,6.506698131561279,14.420658111572266,0.7795642018318176,0.8900570869445801
S1_2021_05,S1_2021_33.tif,angle,1524607,44.485958099365234,45.05248260498047,45.36189270019531,45.35630416870117,45.67618179321289,45.999996185302734,0.37610363960266113,0.6236991882324219
S1_2021_05,S1_2021_33.tif,VVVH_ratio,2303,-48.6063117980957,-15.35949420928955,-11.657402038574219,-6.433155059814453,-5.323857307434082,40.81328201293945,14.39778995513916,10.035636901855469
S1_2021_05,S1_2021_36.tif,VV,252598,-64.02500915527344,-16.331223487854004,10.590125560760498,0.9882621169090271,17.480426788330078,63.20090866088867,18.460020065307617,33.81165027618408
S1_2021_05,S1_2021_36.tif,VH,252598,-19.817548751831055,-9.764057397842407,-8.620554447174072,-8.482025146484375,-7.321223855018616,4.496589660644531,2.0223898887634277,2.4428335428237915
S1_2021_05,S1_2021_36.tif,angle,1893547,44.16238784790039,44.79706954956055,45.19538116455078,45.189903259277344,45.5931453704834,45.999996185302734,0.4711727797985077,0.7960758209228516
S1_2021_05,S1_2021_36.tif,VVVH_ratio,252598,3.107463836669922,5.32378613948822,5.776777029037476,5.850717544555664,6.269959568977356,19.430009841918945,0.8344552516937256,0.9461734294891357
S1_2021_05,S1_2021_37.tif,VV,1490,-38.249755859375,-14.687857866287231,10.26576852798462,1.8122146129608154,16.18076753616333,49.923866271972656,17.01129150390625,30.86862540245056
S1_2021_05,S1_2021_37.tif,VH,1088366,-19.588376998901367,-9.024487257003784,-7.872990608215332,-7.643640041351318,-6.43796980381012,5.02263879776001,2.013946056365967,2.5865174531936646
S1_2021_05,S1_2021_37.tif,angle,1520180,44.48930740356445,45.055049896240234,45.36354637145996,45.35795974731445,45.67696762084961,45.999996185302734,0.37513187527656555,0.621917724609375
S1_2021_05,S1_2021_37.tif,VVVH_ratio,1088366,1.0745587348937988,5.469565510749817,5.880598545074463,5.970782279968262,6.34943699836731,15.691095352172852,0.7793710827827454,0.8798714876174927
S1_2021_05,S1_2021_40.tif,VV,253282,-19.280757904052734,-8.946800231933594,-7.82294487953186,-7.644359588623047,-6.474946856498718,3.2035105228424072,2.129054069519043,2.4718533754348755
S1_2021_05,S1_2021_40.tif,VH,253282,-63.328025817871094,-16.663020610809326,-13.383708000183105,-9.084660530090332,-9.769789457321167,64.60917663574219,14.065170288085938,6.893231153488159
S1_2021_05,S1_2021_40.tif,angle,1895385,44.161197662353516,44.796382904052734,45.194950103759766,45.189422607421875,45.592891693115234,45.999996185302734,0.47147130966186523,0.7965087890625
S1_2021_05,S1_2021_40.tif,VVVH_ratio,253282,3.391448736190796,5.406077027320862,5.840672969818115,5.9232611656188965,6.320482492446899,17.781728744506836,0.8322844505310059,0.9144054651260376
S1_2021_05,S1_2021_41.tif,VV,1090973,-20.467945098876953,-8.953814506530762,-7.7056145668029785,-7.487879753112793,-6.212218761444092,4.647968292236328,2.071895122528076,2.74159574508667
S1_2021_05,S1_2021_41.tif,VH,1253,-35.521549224853516,-15.018985748291016,-12.00656509399414,-7.7129902839660645,-6.658219337463379,34.53826141357422,12.741728782653809,8.360766410827637
S1_2021_05,S1_2021_41.tif,angle,1521699,44.49013900756836,45.05412673950195,45.362945556640625,45.3574104309082,45.67659378051758,45.999996185302734,0.3753270208835602,0.622467041015625
S1_2021_05,S1_2021_41.tif,VVVH_ratio,1090973,0.3031867742538452,5.632844924926758,6.0444111824035645,6.126688480377197,6.508807182312012,13.3556489944458,0.7636755704879761,0.8759622573852539
