folder,file,path,total_px_aoi,bands_used,valid_allbands_px,valid_allbands_pct,null_anyband_px,null_anyband_pct,geom_match_ref,band_mapping,band_confidence,VV_valid_px,VV_valid_pct,VV_null_px,VV_null_pct,VH_valid_px,VH_valid_pct,VH_null_px,VH_null_pct,angle_valid_px,angle_valid_pct,angle_null_px,angle_null_pct,VVVH_ratio_valid_px,VVVH_ratio_valid_pct,VVVH_ratio_null_px,VVVH_ratio_null_pct
S1_2020_11,S1_2020_100.tif,D:\Maestria_Geomatica\Semestre_IV\Tesis_Python\Datos\TIFF\S1\S1_2020_11\S1_2020_100.tif,4837824,"VV,VH,angle,VVVH_ratio",0,0.0,4837824,100.0,True,"{""angle"": 3, ""VV_Difference"": 2, ""VVVH_ratio"": 4, ""VV"": 1, ""VH"": 5}","{""angle"": 0.85, ""VV_Difference"": 0.8, ""VVVH_ratio"": 0.75, ""VV"": 0.3, ""VH"": 0.3}",254613,5.262965333174584,4583211,94.73703466682541,0,0.0,4837824,100.0,1892971,39.12856275879404,2944853,60.87143724120596,254613,5.262965333174584,4583211,94.73703466682541
S1_2020_11,S1_2020_101.tif,D:\Maestria_Geomatica\Semestre_IV\Tesis_Python\Datos\TIFF\S1\S1_2020_11\S1_2020_101.tif,4836008,"VV,VH,angle,VVVH_ratio",498987,10.318159109745062,4337021,89.68184089025493,False,"{""angle"": 3, ""VV_Difference"": 2, ""VVVH_ratio"": 4, ""VV"": 1, ""VH"": 5}","{""angle"": 0.85, ""VV_Difference"": 0.8, ""VVVH_ratio"": 0.75, ""VV"": 0.7, ""VH"": 0.7}",1083449,22.40378841391495,3752559,77.59621158608505,498987,10.318159109745062,4337021,89.68184089025493,1516409,31.35662720160926,3319599,68.64337279839074,1083449,22.40378841391495,3752559,77.59621158608505
S1_2020_11,S1_2020_104.tif,D:\Maestria_Geomatica\Semestre_IV\Tesis_Python\Datos\TIFF\S1\S1_2020_11\S1_2020_104.tif,4836008,"VV,VH,angle,VVVH_ratio",0,0.0,4836008,100.0,False,"{""angle"": 3, ""VV_Difference"": 2, ""VV"": 4, ""VH"": 1, ""VVVH_ratio"": 5}","{""angle"": 0.85, ""VV_Difference"": 0.8, ""VVVH_ratio"": 0.05, ""VV"": 0.7, ""VH"": 0.7}",254654,5.265789469330903,4581354,94.7342105306691,254654,5.265789469330903,4581354,94.7342105306691,1897454,39.235956598913816,2938554,60.764043401086184,0,0.0,4836008,100.0
S1_2020_11,S1_2020_105.tif,D:\Maestria_Geomatica\Semestre_IV\Tesis_Python\Datos\TIFF\S1\S1_2020_11\S1_2020_105.tif,4833345,"VV,VH,angle,VVVH_ratio",500976,10.364995670700106,4332369,89.63500432929989,False,"{""angle"": 3, ""VV_Difference"": 2, ""VVVH_ratio"": 4, ""VV"": 1, ""VH"": 5}","{""angle"": 0.85, ""VV_Difference"": 0.8, ""VVVH_ratio"": 0.75, ""VV"": 0.7, ""VH"": 0.7}",1088656,22.523862873434442,3744689,77.47613712656556,500976,10.364995670700106,4332369,89.63500432929989,1521873,31.486951583220318,3311472,68.51304841677968,1088656,22.523862873434442,3744689,77.47613712656556
S1_2020_11,S1_2020_96.tif,D:\Maestria_Geomatica\Semestre_IV\Tesis_Python\Datos\TIFF\S1\S1_2020_11\S1_2020_96.tif,4836008,"VV,VH,angle,VVVH_ratio",0,0.0,4836008,100.0,False,"{""angle"": 3, ""VV_Difference"": 2, ""VVVH_ratio"": 4, ""VV"": 1, ""VH"": 5}","{""angle"": 0.85, ""VV_Difference"": 0.8, ""VVVH_ratio"": 0.75, ""VV"": 0.3, ""VH"": 0.3}",254683,5.266389137486952,4581325,94.73361086251305,0,0.0,4836008,100.0,1893572,39.15568377885231,2942436,60.84431622114769,254683,5.266389137486952,4581325,94.73361086251305
S1_2020_11,S1_2020_97.tif,D:\Maestria_Geomatica\Semestre_IV\Tesis_Python\Datos\TIFF\S1\S1_2020_11\S1_2020_97.tif,4836008,"VV,VH,angle,VVVH_ratio",499462,10.327981260576905,4336546,89.6720187394231,False,"{""angle"": 3, ""VV_Difference"": 2, ""VVVH_ratio"": 4, ""VV"": 5, ""VH"": 1}","{""angle"": 0.85, ""VV_Difference"": 0.8, ""VVVH_ratio"": 0.75, ""VV"": 0.7, ""VH"": 0.7}",499462,10.327981260576905,4336546,89.6720187394231,1084982,22.435488113336454,3751026,77.56451188666354,1518021,31.389960479800695,3317987,68.61003952019931,1084982,22.435488113336454,3751026,77.56451188666354
