idx_firms,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,acq_date_n,anio,mes,dia,index_righ,MpNombre,Depto,mpnombre_s,depto_std,join_ok,fecha_FIRM,mpnombre_1,fecha_UNGR,dif_dias_m,dif_dias_a,tipo_coinc,fire_date,orb_same,img_same,idx_same,slice_same,orb_post30,img_post30,idx_post30,slice_post,orb_pre30,img_pre30,idx_pre30,slice_pre3,dt_post_da,dt_pre_day,label,id,point_id,SR_B5,SR_B6,SR_B7,NDVI,EVI,NBR,NDWI,VV,VH,angle,VVVH_ratio,VV_Difference,VH_Difference,VHVV_Difference,l8_found,l8_file,l8_year,l8_bimonth_start_month,l8_bimonth_label,l8_selection_rule,s1_general_found,s1_general_file,s1_general_date,s1_general_scene_index,s1_difference_found,s1_difference_file,s1_difference_date,s1_difference_scene_index,s1_difference_selection_rule,SR_B5_norm,SR_B6_norm,SR_B7_norm,NDVI_norm,EVI_norm,NBR_norm,NDWI_norm,VV_norm,VH_norm,angle_norm,VVVH_ratio_norm,VV_Difference_norm,VH_Difference_norm,VHVV_Difference_norm
983.0,5.46534,-73.55585,298.8,0.4,0.37,2017-09-04,0617,N,VIIRS,n,2,279.09,0.99,N,2.0,2017-04-09,2017.0,4.0,9.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2017-04-09,SAMACA,2017-04-14,-5.0,5.0,ventana_5dias,2017-04-09,<NA>,<NA>,<NA>,<NA>,77,2017-05-09 00:00:00,24,7,77,2017-03-10 00:00:00,10,7,30,-30,1,,220,0.10599249601364136,0.10861875116825104,0.0978662520647049,0.2584967315196991,0.0891069620847702,-0.020711533725261688,-0.3042578399181366,-1.9189964532852173,-7.085923194885254,31.970958709716797,5.166926383972168,-0.7907823324203491,-1.1245100498199463,-0.3337274491786957,True,L8_2017_sep_oct.tif,2017,9,sep_oct,current_bimonth,True,S1_2017-09-06_0_prepost_indices.tif,2017-09-06,0,True,S1_2017-09-06_0_prepost_indices.tif,2017-09-06,0,closest_to_fire_date,0.12279830773809693,0.15836771213816755,0.165952109755092,0.1691430831065364,0.09405925886870517,0.47609668270591543,0.8479237787162576,0.8568471027905985,0.8623553258651413,0.05824098295375247,0.16601871310468622,0.45795603519749956,0.3422804639013102,0.4533836461166992
1012.0,5.44621,-73.58848,300.69,0.4,0.37,2017-09-04,0617,N,VIIRS,n,2,279.12,0.92,N,0.0,2017-04-09,2017.0,4.0,9.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2017-04-09,SAMACA,2017-04-14,-5.0,5.0,ventana_5dias,2017-04-09,<NA>,<NA>,<NA>,<NA>,77,2017-05-09 00:00:00,24,7,77,2017-03-10 00:00:00,10,7,30,-30,1,,226,0.14188000559806824,0.17339499294757843,0.1462250053882599,0.20171093940734863,0.09667444974184036,-0.0999603122472763,-0.28235718607902527,-5.247454643249512,-12.217855453491211,31.6373348236084,6.970400810241699,-0.9398685693740845,0.04792085289955139,0.9877892732620239,True,L8_2017_sep_oct.tif,2017,9,sep_oct,current_bimonth,True,S1_2017-09-06_0_prepost_indices.tif,2017-09-06,0,True,S1_2017-09-06_0_prepost_indices.tif,2017-09-06,0,closest_to_fire_date,0.2037335808425126,0.3230994892494862,0.27365714606499975,0.09126499299300936,0.10594256219317531,0.3819096095902403,0.8834542835042868,0.6077244889387817,0.5299264510471172,0.035844495405208496,0.42665371494600635,0.4441440497622259,0.49885644152772596,0.5862037025233315
996.0,5.46512,-73.5562,311.66,0.39,0.44,2017-10-10,0642,N,VIIRS,n,2,278.58,1.27,N,2.0,2017-10-10,2017.0,10.0,10.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2017-10-10,SAMACA,2017-10-11,-1.0,1.0,ventana_5dias,2017-10-10,<NA>,<NA>,<NA>,<NA>,77,2017-11-05 00:00:00,52,7,77,2017-09-06 00:00:00,43,7,26,-34,1,,222,0.09089499711990356,0.06992624700069427,0.05075874924659729,0.5409290790557861,0.13833653926849365,0.12789706885814667,-0.5235129594802856,-0.006370273884385824,-4.961008071899414,31.664899826049805,4.95463752746582,-1.185166597366333,-0.41100823879241943,0.7741583585739136,True,L8_2017_nov_dic.tif,2017,11,nov_dic,next_bimonth,True,S1_2017-10-12_0_prepost_indices.tif,2017-10-12,0,True,S1_2017-10-12_0_prepost_indices.tif,2017-10-12,0,closest_to_fire_date,0.08874968719273245,0.05996921297666042,0.0610338694616225,0.5564810244153902,0.17136496780673516,0.6527178190588695,0.4922154454111282,1.0,1.0,0.03769496013408571,0.13533909508488817,0.42141859328040665,0.43756731052120124,0.5647325628417463
1011.0,5.44622,-73.59083,295.0,0.39,0.44,2017-10-10,0642,N,VIIRS,n,2,278.04,0.51,N,0.0,2017-10-10,2017.0,10.0,10.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2017-10-10,SAMACA,2017-10-11,-1.0,1.0,ventana_5dias,2017-10-10,<NA>,<NA>,<NA>,<NA>,77,2017-11-05 00:00:00,52,7,77,2017-09-06 00:00:00,43,7,26,-34,1,,225,0.08448749780654907,0.046345002949237823,0.023354999721050262,0.7677632570266724,0.15910883247852325,0.295129656791687,-0.7397857308387756,-7.857929706573486,-13.502771377563477,31.36412811279297,5.644842147827148,0.08147227764129639,-0.0020731843542307615,-0.08354553580284119,True,L8_2017_nov_dic.tif,2017,11,nov_dic,next_bimonth,True,S1_2017-10-12_0_prepost_indices.tif,2017-10-12,0,True,S1_2017-10-12_0_prepost_indices.tif,2017-10-12,0,closest_to_fire_date,0.07429918023786307,0.0,0.0,0.8675696241463503,0.20398391244802466,0.8514735384627264,0.1413455218588823,0.41234021969031265,0.44669402837458283,0.017503870073099247,0.23508627191115797,0.5387654258977317,0.4921798303599843,0.4785283720836389
1006.0,5.44727,-73.58977,297.43,0.45,0.39,2017-12-04,0611,N,VIIRS,n,2,280.76,0.78,N,0.0,2017-04-12,2017.0,4.0,12.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2017-04-12,SAMACA,2017-04-14,-2.0,2.0,ventana_5dias,2017-04-12,<NA>,<NA>,<NA>,<NA>,77,2017-05-09 00:00:00,24,7,77,2017-03-10 00:00:00,10,7,27,-33,1,,224,0.12214875221252441,0.0878012478351593,0.06140124797821045,0.5113452672958374,0.16905784606933594,0.15080884099006653,-0.4703758955001831,-5.518986225128174,-11.361139297485352,31.639177322387695,5.842153072357178,0.5068613886833191,-0.6883332133293152,-1.1951948404312134,True,L8_2018_ene_feb.tif,2018,1,ene_feb,next_bimonth,True,S1_2017-12-23_1_prepost_indices.tif,2017-12-23,1,True,S1_2017-12-23_1_prepost_indices.tif,2017-12-23,1,closest_to_fire_date,0.15923468972568788,0.10542693902626674,0.08473693526746115,0.5159087144688353,0.21960695032221872,0.6799484312808528,0.5784223102854174,0.5874013682744189,0.5854215693433227,0.03596818409383951,0.26360130513210095,0.5781752891157544,0.400531073325802,0.3668012022053499
1042.0,5.5978,-73.0546,327.9,1.3,1.1,2018-02-16,1811,Aqua,MODIS,65,6.03,305.2,28.8,D,0.0,2018-02-16,2018.0,2.0,16.0,564.0,Pesca,Boyacá,PESCA,BOYACA,1.0,2018-02-16,PESCA,2018-02-16,0.0,0.0,exacta,2018-02-16,<NA>,<NA>,<NA>,<NA>,77,2018-03-17 00:00:00,12,7,77,2018-01-16 00:00:00,3,7,29,-31,1,,230,0.23829500377178192,0.3324275016784668,0.23238250613212585,0.39250993728637695,0.23511123657226562,-0.1649356633424759,-0.46924492716789246,-10.03584098815918,-14.197608947753906,35.81865692138672,4.161767959594727,-2.0110411643981934,-1.1906752586364746,0.8203661441802979,True,L8_2018_mar_abr.tif,2018,3,mar_abr,next_bimonth,True,S1_2018-02-21_1_prepost_indices.tif,2018-02-21,1,True,S1_2018-02-21_1_prepost_indices.tif,2018-02-21,1,closest_to_fire_date,0.4211734171229736,0.7275333844877747,0.46554788162432603,0.3529336428023671,0.3233312655145456,0.30468648693201295,0.5802571356765114,0.2493317273974266,0.4016848466473012,0.31654060919880206,0.020754957781948007,0.34490604776121936,0.3334442226940256,0.5693767119368335
1133.0,5.47205,-73.55227,299.64,0.49,0.49,2018-12-29,0648,N20,VIIRS,n,2,278.99,1.19,N,2.0,2018-12-29,2018.0,12.0,29.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2018-12-29,SAMACA,2019-01-03,-5.0,5.0,ventana_5dias,2018-12-29,<NA>,<NA>,<NA>,<NA>,150,2019-01-28 00:00:00,3,25,150,2018-11-29 00:00:00,52,25,30,-30,1,,231,0.08456999808549881,0.10687249898910522,0.10178499668836594,0.2316991090774536,0.0668531060218811,-0.08299949765205383,-0.29992222785949707,-5.950221538543701,-12.362248420715332,45.37633514404297,6.412026882171631,0.25901395082473755,-2.069105863571167,-2.3281197547912598,True,L8_2019_ene_feb.tif,2019,1,ene_feb,next_bimonth,True,S1_2019-01-04_0_prepost_indices.tif,2019-01-04,0,True,S1_2018-12-18_2_prepost_indices.tif,2018-12-18,2,closest_to_fire_date,0.07448523891636455,0.15392683664348877,0.1746799718891037,0.13239185400936274,0.05911380091512133,0.4020675163009142,0.8549576547886434,0.5551250221910583,0.5205731725533381,0.9581566031961875,0.3459584815393877,0.5552136444205775,0.21613144082723804,0.2529357107782973
1227.0,5.4713,-73.54772,301.33,0.49,0.49,2018-12-29,0648,N20,VIIRS,n,2,279.1,1.19,N,2.0,2018-12-29,2018.0,12.0,29.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2018-12-29,SAMACA,2019-01-03,-5.0,5.0,ventana_5dias,2018-12-29,<NA>,<NA>,<NA>,<NA>,150,2019-01-28 00:00:00,3,25,150,2018-11-29 00:00:00,52,25,30,-30,1,,235,0.11817499995231628,0.11616750061511993,0.10299500077962875,0.2724977731704712,0.10990534722805023,0.004402234219014645,-0.3551936447620392,-9.01477336883545,-16.865345001220703,45.40118408203125,7.85057258605957,-2.50388765335083,-1.1961268186569214,1.3077605962753296,True,L8_2019_ene_feb.tif,2019,1,ene_feb,next_bimonth,True,S1_2019-01-04_0_prepost_indices.tif,2019-01-04,0,True,S1_2018-12-18_2_prepost_indices.tif,2018-12-18,2,closest_to_fire_date,0.15027288858223942,0.17756485722088292,0.17737490353286714,0.1883446182582302,0.12671917593984028,0.5059443641679151,0.7652881244940801,0.32575480971594245,0.22887810449315915,0.9598247359451365,0.5538546162005297,0.29924664508039367,0.33271617694070177,0.6183626668780474
1228.0,5.47781,-73.52824,305.37,0.41,0.37,2018-12-30,0629,N20,VIIRS,n,2,281.8,1.53,N,2.0,2018-12-30,2018.0,12.0,30.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2018-12-30,SAMACA,2019-01-03,-4.0,4.0,ventana_5dias,2018-12-30,<NA>,<NA>,<NA>,<NA>,150,2019-01-28 00:00:00,3,25,150,2018-11-29 00:00:00,52,25,29,-31,1,,236,0.1159062534570694,0.06966499984264374,0.04514875262975693,0.5871731638908386,0.1758899837732315,0.2522907555103302,-0.6116648316383362,-10.065516471862793,-15.396474838256836,45.701175689697266,5.330958843231201,1.0401967763900757,0.7363710403442383,-0.30382582545280457,True,L8_2019_ene_feb.tif,2019,1,ene_feb,next_bimonth,True,S1_2019-01-04_0_prepost_indices.tif,2019-01-04,0,True,S1_2018-12-18_2_prepost_indices.tif,2018-12-18,2,closest_to_fire_date,0.14515630012782146,0.05930483808505192,0.04853923616798589,0.6199018357140412,0.2303355260885878,0.8005595584313308,0.3492023400127895,0.24711062872481854,0.32402644841547096,0.979963456778742,0.18972440013760283,0.6275857562228404,0.5907976901729186,0.4563889318482242
1306.0,5.47356,-73.54463,298.89,0.41,0.37,2018-12-30,0629,N20,VIIRS,n,2,279.34,1.06,N,2.0,2018-12-30,2018.0,12.0,30.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2018-12-30,SAMACA,2019-01-03,-4.0,4.0,ventana_5dias,2018-12-30,<NA>,<NA>,<NA>,<NA>,150,2019-01-28 00:00:00,3,25,150,2018-11-29 00:00:00,52,25,29,-31,1,,237,0.09909000247716904,0.09312249720096588,0.07285500317811966,0.380708247423172,0.1304381936788559,0.08713509887456894,-0.41985633969306946,-10.439610481262207,-16.510560989379883,45.6064338684082,6.070950508117676,0.4560316205024719,-0.02984294667840004,-0.48587438464164734,True,L8_2019_ene_feb.tif,2019,1,ene_feb,next_bimonth,True,S1_2019-01-04_0_prepost_indices.tif,2019-01-04,0,True,S1_2018-12-18_2_prepost_indices.tif,2018-12-18,2,closest_to_fire_date,0.10723146551513377,0.11895935215186962,0.11024683854054926,0.3367483782763365,0.1589621148842773,0.6042722692499765,0.6603826632812803,0.21911109496805295,0.25185978934721953,0.9736033485575415,0.29666671444543186,0.5734662024009958,0.48847122998594567,0.4380920011400372
