idx_firms,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,acq_date_n,anio,mes,dia,index_righ,MpNombre,Depto,mpnombre_s,depto_std,join_ok,fecha_FIRM,mpnombre_1,fecha_UNGR,dif_dias_m,dif_dias_a,tipo_coinc,fire_date,orb_same,img_same,idx_same,slice_same,orb_post30,img_post30,idx_post30,slice_post,orb_pre30,img_pre30,idx_pre30,slice_pre3,dt_post_da,dt_pre_day,label,id,point_id,SR_B5,SR_B6,SR_B7,NDVI,EVI,NBR,NDWI,VV,VH,angle,VVVH_ratio,VV_Difference,VH_Difference,VHVV_Difference,l8_found,l8_file,l8_year,l8_bimonth_start_month,l8_bimonth_label,l8_selection_rule,s1_found,s1_file,s1_date,s1_scene_index,SR_B5_norm,SR_B6_norm,SR_B7_norm,NDVI_norm,EVI_norm,NBR_norm,NDWI_norm,VV_norm,VH_norm,angle_norm,VVVH_ratio_norm,VV_Difference_norm,VH_Difference_norm,VHVV_Difference_norm
7.0,5.781,-73.5684,322.5,1.2,1.1,2014-09-29,1835,Aqua,MODIS,73,6.03,300.0,17.0,D,0.0,2014-09-29,2014.0,9.0,29.0,603.0,Gachantivá,Boyacá,GACHANTIVA,BOYACA,1.0,2014-09-29,GACHANTIVA,2014-09-29,0.0,0.0,exacta,2014-09-29,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,1,0.25562000274658203,0.1803250014781952,0.0933149978518486,0.7084471583366394,0.39019477367401123,0.17271673679351807,-0.6875113844871521,-8.031805276870728,-14.623002529144287,32.219961166381836,6.352420091629028,-0.04182565584778786,-0.16214609146118164,-0.016980957239866257,True,L8_2017_ene_feb.tif,2017,1,ene_feb,next_bimonth_fallback_next_available,False,,,,0.4008751051168033,0.32282196029453053,0.1030209089646254,0.7414733875462518,0.42123063411608,0.6226431968148113,0.23057778811887755,0.3755413768815358,0.3340547075799096,0.0756830769234706,0.3379989895138135,0.5263302101306602,0.5019030732497866,0.4852184963395691
8.0,5.7796,-73.5784,318.1,1.2,1.1,2014-09-29,1835,Aqua,MODIS,65,6.03,298.7,11.3,D,0.0,2014-09-29,2014.0,9.0,29.0,600.0,Santa Sofía,Boyacá,SANTA SOFIA,BOYACA,1.0,2014-09-29,SANTA SOFIA,2014-09-30,-1.0,1.0,ventana_5dias,2014-09-29,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,2,0.25946998596191406,0.11891750246286392,0.05280749872326851,0.7995006442070007,0.43870478868484497,0.371451199054718,-0.7426666617393494,-8.031805276870728,-14.623002529144287,32.219961166381836,6.352420091629028,-0.04182565584778786,-0.16214609146118164,-0.016980957239866257,True,L8_2017_ene_feb.tif,2017,1,ene_feb,next_bimonth_fallback_next_available,False,,,,0.4084377339785995,0.18184974680256621,0.04597211184932478,0.8592401943915827,0.4778363906286445,0.8224973796273183,0.1416083497543695,0.3755413768815358,0.3340547075799096,0.0756830769234706,0.3379989895138135,0.5263302101306602,0.5019030732497866,0.4852184963395691
16.0,5.47922,-73.51354,295.42,0.39,0.44,2014-02-04,0645,N,VIIRS,n,2,280.47,0.67,N,2.0,2014-04-02,2014.0,4.0,2.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2014-04-02,SAMACA,2014-04-06,-4.0,4.0,ventana_5dias,2014-04-02,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,3,0.2106575071811676,0.10656999796628952,0.059242501854896545,0.7349825501441956,0.3523062765598297,0.3470775783061981,-0.6753595471382141,-8.031805276870728,-14.623002529144287,32.219961166381836,6.352420091629028,-0.04182565584778786,-0.16214609146118164,-0.016980957239866257,True,L8_2017_ene_feb.tif,2017,1,ene_feb,next_bimonth_fallback_next_available,False,,,,0.31255402742814054,0.1535037781848002,0.05503485815531823,0.7757937469668114,0.37701899984234527,0.7979864316948195,0.25017957779148403,0.3755413768815358,0.3340547075799096,0.0756830769234706,0.3379989895138135,0.5263302101306602,0.5019030732497866,0.4852184963395691
17.0,5.47701,-73.52529,300.45,0.39,0.44,2014-02-04,0645,N,VIIRS,n,2,280.82,1.14,N,2.0,2014-04-02,2014.0,4.0,2.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2014-04-02,SAMACA,2014-04-06,-4.0,4.0,ventana_5dias,2014-04-02,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,4,0.11501249670982361,0.08392374962568283,0.05590125173330307,0.605283260345459,0.18801841139793396,0.1557517647743225,-0.5971105098724365,-8.031805276870728,-14.623002529144287,32.219961166381836,6.352420091629028,-0.04182565584778786,-0.16214609146118164,-0.016980957239866257,True,L8_2017_ene_feb.tif,2017,1,ene_feb,next_bimonth_fallback_next_available,False,,,,0.12467587933730345,0.1015151480165695,0.05032920353830012,0.6080432093163213,0.1853134542710563,0.6055826398245638,0.3764009158924062,0.3755413768815358,0.3340547075799096,0.0756830769234706,0.3379989895138135,0.5263302101306602,0.5019030732497866,0.4852184963395691
21.0,5.61784,-73.31963,340.57,0.42,0.38,2014-02-02,1826,N,VIIRS,n,2,308.99,10.67,D,0.0,2014-02-02,2014.0,2.0,2.0,604.0,Cómbita,Boyacá,COMBITA,BOYACA,1.0,2014-02-02,COMBITA,2014-02-02,0.0,0.0,exacta,2014-02-02,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,5,0.3534512519836426,0.24785125255584717,0.1387450098991394,0.6471278071403503,0.45813968777656555,0.17560088634490967,-0.6094836592674255,-8.031805276870728,-14.623002529144287,32.219961166381836,6.352420091629028,-0.04182565584778786,-0.16214609146118164,-0.016980957239866257,True,L8_2017_ene_feb.tif,2017,1,ene_feb,next_bimonth_fallback_next_available,False,,,,0.5930477426803588,0.4778408950479896,0.1670023345274531,0.6621641319017624,0.5005147420079732,0.6255435963989802,0.3564421339350828,0.3755413768815358,0.3340547075799096,0.0756830769234706,0.3379989895138135,0.5263302101306602,0.5019030732497866,0.4852184963395691
38.0,5.47042,-73.55009,296.64,0.63,0.54,2014-02-14,0657,N,VIIRS,n,2,276.75,2.04,N,2.0,2014-02-14,2014.0,2.0,14.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2014-02-14,SAMACA,2014-02-15,-1.0,1.0,ventana_5dias,2014-02-14,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,6,0.14933250099420547,0.12791000306606293,0.09592749923467636,0.5005685985088348,0.19376284629106522,0.08835652843117714,-0.5236862301826477,-8.031805276870728,-14.623002529144287,32.219961166381836,6.352420091629028,-0.04182565584778786,-0.16214609146118164,-0.016980957239866257,True,L8_2017_ene_feb.tif,2017,1,ene_feb,next_bimonth_fallback_next_available,False,,,,0.19209161608763947,0.20249368663382836,0.10670022920306559,0.47260730330449,0.19201656666527528,0.5378076815633626,0.4948395722053672,0.3755413768815358,0.3340547075799096,0.0756830769234706,0.3379989895138135,0.5263302101306602,0.5019030732497866,0.4852184963395691
39.0,5.47182,-73.54288,295.91,0.4,0.37,2014-02-16,0620,N,VIIRS,n,2,280.38,0.96,N,2.0,2014-02-16,2014.0,2.0,16.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2014-02-16,SAMACA,2014-02-15,1.0,1.0,ventana_5dias,2014-02-16,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,7,0.09075749665498734,0.05806000158190727,0.04348500072956085,0.5273576378822327,0.14004965126514435,0.21971538662910461,-0.5323216915130615,-8.031805276870728,-14.623002529144287,32.219961166381836,6.352420091629028,-0.04182565584778786,-0.16214609146118164,-0.016980957239866257,True,L8_2017_ene_feb.tif,2017,1,ene_feb,next_bimonth_fallback_next_available,False,,,,0.07703110968555983,0.04214015523239491,0.03284275782619313,0.5072557255510659,0.12933928160423913,0.6699066490078038,0.480909950547002,0.3755413768815358,0.3340547075799096,0.0756830769234706,0.3379989895138135,0.5263302101306602,0.5019030732497866,0.4852184963395691
40.0,5.47923,-73.52409,304.43,0.4,0.37,2014-02-16,0620,N,VIIRS,n,2,282.65,1.19,N,2.0,2014-02-16,2014.0,2.0,16.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2014-02-16,SAMACA,2014-02-15,1.0,1.0,ventana_5dias,2014-02-16,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,8,0.16707000136375427,0.2219875007867813,0.2267725020647049,0.17501254379749298,0.09087887406349182,-0.1344851553440094,-0.26570451259613037,-8.031805276870728,-14.623002529144287,32.219961166381836,6.352420091629028,-0.04182565584778786,-0.16214609146118164,-0.016980957239866257,True,L8_2017_ene_feb.tif,2017,1,ene_feb,next_bimonth_fallback_next_available,False,,,,0.22693388025561514,0.41846589371172566,0.29097598506513545,0.0515394370274617,0.07196248959152392,0.3137104510139935,0.9109826806342022,0.3755413768815358,0.3340547075799096,0.0756830769234706,0.3379989895138135,0.5263302101306602,0.5019030732497866,0.4852184963395691
61.0,5.47757,-73.51344,309.28,0.4,0.37,2014-02-16,0620,N,VIIRS,n,2,282.19,0.95,N,2.0,2014-02-16,2014.0,2.0,16.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2014-02-16,SAMACA,2014-02-15,1.0,1.0,ventana_5dias,2014-02-16,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,9,0.08445999771356583,0.06215750053524971,0.051350001245737076,0.403514564037323,0.11189395189285278,0.11874959617853165,-0.4051198661327362,-8.031805276870728,-14.623002529144287,32.219961166381836,6.352420091629028,-0.04182565584778786,-0.16214609146118164,-0.016980957239866257,True,L8_2017_ene_feb.tif,2017,1,ene_feb,next_bimonth_fallback_next_available,False,,,,0.06466075776769618,0.051546718054461246,0.043919443092168955,0.3470795036611037,0.0964847326466071,0.5683719915914306,0.6860956648945248,0.3755413768815358,0.3340547075799096,0.0756830769234706,0.3379989895138135,0.5263302101306602,0.5019030732497866,0.4852184963395691
62.0,5.47641,-73.5281,295.79,0.4,0.37,2014-02-16,0620,N,VIIRS,n,2,282.4,0.78,N,2.0,2014-02-16,2014.0,2.0,16.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2014-02-16,SAMACA,2014-02-15,1.0,1.0,ventana_5dias,2014-02-16,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,10,0.11186374723911285,0.078148752450943,0.04725249856710434,0.6480265855789185,0.19512709975242615,0.1773616373538971,-0.6365513801574707,-8.031805276870728,-14.623002529144287,32.219961166381836,6.352420091629028,-0.04182565584778786,-0.16214609146118164,-0.016980957239866257,True,L8_2017_ene_feb.tif,2017,1,ene_feb,next_bimonth_fallback_next_available,False,,,,0.11849070337837163,0.08825757935334061,0.03814871905288133,0.6633265944451767,0.1936084977178213,0.6273142679273787,0.3127799488211707,0.3755413768815358,0.3340547075799096,0.0756830769234706,0.3379989895138135,0.5263302101306602,0.5019030732497866,0.4852184963395691
